reactants	product	scaffold	split
CC(O)CN.C[C@@H](NC(=O)OC(C)(C)C)C(=O)O	CC(O)CNC(=O)[C@@H](C)NC(=O)OC(C)(C)C	CC(O)CNC(=O)[C@@H](C)NC(=O)OC(C)(C)C	holdout
CC(C)(C)OC(=O)C(C)(C)Oc1ccc(C(=O)O)cc1.OCc1cn(Cc2ccc(SC(F)(F)F)cc2)nn1	CC(C)(C)OC(=O)C(C)(C)Oc1ccc(C(=O)OCc2cn(Cc3ccc(SC(F)(F)F)cc3)nn2)cc1	O=C(OCc1cn(Cc2ccccc2)nn1)c1ccccc1	dev
CCCCCCCCCCCCCC(=O)O.CO[C@@H](C(=O)N[C@H]1CC[C@@H](O)CN(Cc2cccnc2)C1=O)[C@@H]1OC(C)(C)O[C@H](/C=C/C(C)(C)C)[C@H]1O	CCCCCCCCCCCCCC(=O)O[C@@H]1CC[C@H](NC(=O)[C@H](OC)[C@@H]2OC(C)(C)O[C@H](/C=C/C(C)(C)C)[C@H]2O)C(=O)N(Cc2cccnc2)C1	O=C(C[C@H]1CCOCO1)N[C@H]1CCCCN(Cc2cccnc2)C1=O	validation
CCCCCCCCCCCCCCCCCCCCCC(=O)O.OCCOc1ccccc1	CCCCCCCCCCCCCCCCCCCCCC(=O)OCCOc1ccccc1	c1ccccc1	validation
COc1nc(NCCc2ccc(Cl)cc2Cl)cc(-c2cccc(C(=O)O)c2)n1.OCCN1CCOCC1	COc1nc(NCCc2ccc(Cl)cc2Cl)cc(-c2cccc(C(=O)OCCN3CCOCC3)c2)n1	O=C(OCCN1CCOCC1)c1cccc(-c2cc(NCCc3ccccc3)ncn2)c1	dev
COC(=O)CC(=O)O.COC(=O)N1CC[C@H]2[C@@H]1CCC[C@]2(O)C#Cc1cccc(C)c1	COC(=O)CC(=O)O[C@@]1(C#Cc2cccc(C)c2)CCC[C@@H]2[C@H]1CCN2C(=O)OC	C(#CC1CCC[C@H]2NCC[C@@H]12)c1ccccc1	dev
COC(=O)C1C2CC3C(OC(=O)C31)C2O.O=C(O)CCl	COC(=O)C1C2CC3C(OC(=O)C31)C2OC(=O)CCl	O=C1OC2CC3CC1C2C3	holdout
CO.Cc1ccc(I)c(C(=O)O)c1	COC(=O)c1cc(C)ccc1I	c1ccccc1	validation
O=C(O)C(O)(c1ccccc1)C1CCCCC1.OCCNc1ncccn1	O=C(OCCNc1ncccn1)C(O)(c1ccccc1)C1CCCCC1	O=C(OCCNc1ncccn1)C(c1ccccc1)C1CCCCC1	holdout
CO.O=C(O)c1cccc2c1OCC2	COC(=O)c1cccc2c1OCC2	c1ccc2c(c1)CCO2	holdout
CC(C)O.O=C(O)Cc1cc(C(F)(F)F)ccc1I	CC(C)OC(=O)Cc1cc(C(F)(F)F)ccc1I	c1ccccc1	validation
C#CCOCCCCCCCCCCO.O=C(O)C1CC1	C#CCOCCCCCCCCCCOC(=O)C1CC1	C1CC1	validation
Cc1cc(C(=O)O)ccc1Br.N#CCCO	Cc1cc(C(=O)OCCC#N)ccc1Br	c1ccccc1	validation
CCO.O=C(O)C1CCC(N2CCCC2=O)CC1	CCOC(=O)C1CCC(N2CCCC2=O)CC1	O=C1CCCN1C1CCCCC1	dev
CC(=O)OCC(C)(C)C(OC(C)=O)C(=O)NCCC(=O)O.Nc1ccc(O)cc1	CC(=O)OCC(C)(C)C(OC(C)=O)C(=O)NCCC(=O)Nc1ccc(O)cc1	c1ccccc1	validation
CCO.CNC(=O)N(c1cccc(-c2sc(C(=O)O)c(OCC(=O)O)c2Br)c1)C1CCCCC1	CCOC(=O)COc1c(C(=O)O)sc(-c2cccc(N(C(=O)NC)C3CCCCC3)c2)c1Br	c1cc(NC2CCCCC2)cc(-c2cccs2)c1	dev
CCN(CC)C(=O)CCC(=O)O.COC(=O)N1CC[C@H]2[C@@H]1CCC[C@]2(O)C#Cc1cccc(C)c1	CCN(CC)C(=O)CCC(=O)O[C@@]1(C#Cc2cccc(C)c2)CCC[C@@H]2[C@H]1CCN2C(=O)OC	C(#CC1CCC[C@H]2NCC[C@@H]12)c1ccccc1	dev
O=C(O)Cc1ccco1.OCCBr	O=C(Cc1ccco1)OCCBr	c1ccoc1	dev
CC(=Cc1ccc(C(=O)O)s1)C(=O)OC(C)(C)C.N=C(N)c1ccc(O)cc1	CC(=Cc1ccc(C(=O)Oc2ccc(C(=N)N)cc2)s1)C(=O)OC(C)(C)C	O=C(Oc1ccccc1)c1cccs1	validation
C[C@H]1C=CC2=C[C@@H](C(C)(C)C)C[C@H](O)[C@@H]2[C@@]1(CC[C@@H]1C[C@H](C(C)(C)C)C(O[SiH](C)C)C(=O)O1)O[SiH](C)C.Cc1cccc(C)c1OC(C)C(=O)O	Cc1cccc(C)c1OC(C)C(=O)O[C@H]1C[C@H](C(C)(C)C)C=C2C=C[C@H](C)[C@](CC[C@@H]3C[C@H](C(C)(C)C)C(O[SiH](C)C)C(=O)O3)(O[SiH](C)C)[C@H]21	O=C1CCC[C@@H](CCC2CC=CC3=CCC[C@H](OC(=O)COc4ccccc4)[C@@H]32)O1	holdout
CCO.Cc1cc(C(=O)O)ccc1F	CCOC(=O)c1ccc(F)c(C)c1	c1ccccc1	validation
NCCCCO.O=C(NC1(C(=O)O)CCCC1)OCc1ccccc1	O=C(NC1(C(=O)NCCCCO)CCCC1)OCc1ccccc1	O=C(NC1CCCC1)OCc1ccccc1	dev
CC(C)(C)c1cc(CCC(=O)O)cc(C(C)(C)C)c1O.CCCCCCCCCCCCCCCCCC(=O)NCCCO	CCCCCCCCCCCCCCCCCC(=O)NCCCOC(=O)CCc1cc(C(C)(C)C)c(O)c(C(C)(C)C)c1	c1ccccc1	validation
CCCCCCCCCCC[C@H](CC(=O)O)OC(=O)CCCCCCCCC.N[C@H](CO)C(=O)OCc1ccccc1	CCCCCCCCCCC[C@H](CC(=O)N[C@H](CO)C(=O)OCc1ccccc1)OC(=O)CCCCCCCCC	c1ccccc1	validation
CCCCCOc1ccc(O)cc1.CCOC(=O)Oc1ccc(/C=C/C(=O)O)cc1	CCCCCOc1ccc(OC(=O)/C=C/c2ccc(OC(=O)OCC)cc2)cc1	O=C(/C=C/c1ccccc1)Oc1ccccc1	holdout
CC(O)CN(C)C.O=C(NC(Cc1cc(=O)[nH]c2ccccc12)C(=O)O)c1ccc(Cl)cc1	CC(CN(C)C)OC(=O)C(Cc1cc(=O)[nH]c2ccccc12)NC(=O)c1ccc(Cl)cc1	O=C(NCCc1cc(=O)[nH]c2ccccc12)c1ccccc1	validation
CCCCC/C(=C\C=C\C(=O)O)c1ccc(OC)cc1.O=[N+]([O-])c1ccc(O)cc1	CCCCC/C(=C\C=C\C(=O)Oc1ccc([N+](=O)[O-])cc1)c1ccc(OC)cc1	O=C(/C=C/C=Cc1ccccc1)Oc1ccccc1	dev
CCCCCCCCCCCCCCCC(=O)O.COC(=O)N[C@H](C(=O)N[C@@H](Cc1ccccc1)[C@@H](O)CN(CC1CCCCC1)NC(=O)[C@@H](NC(=O)OC)C(C)C)C(C)C	CCCCCCCCCCCCCCCC(=O)O[C@@H](CN(CC1CCCCC1)NC(=O)[C@@H](NC(=O)OC)C(C)C)[C@H](Cc1ccccc1)NC(=O)[C@@H](NC(=O)OC)C(C)C	c1ccc(CCCCNCC2CCCCC2)cc1	validation
CCCCCCCCOc1ccc(C(=O)O)cc1.Oc1cc(Cl)c(Cl)cc1Cl	CCCCCCCCOc1ccc(C(=O)Oc2cc(Cl)c(Cl)cc2Cl)cc1	O=C(Oc1ccccc1)c1ccccc1	holdout
CCO.O=C(O)C1CCC(O)CC1	CCOC(=O)[C@H]1CC[C@H](O)CC1	C1CCCCC1	validation
O=C1CC(C(NC(=O)OCc2ccccc2)C(=O)O)C(=O)N1.OCC(Cl)(Cl)Cl	O=C1CC(C(NC(=O)OCc2ccccc2)C(=O)OCC(Cl)(Cl)Cl)C(=O)N1	O=C1CC(CNC(=O)OCc2ccccc2)C(=O)N1	holdout
CCC(O)C(C)C1OC1CC(C)/C=C/C=C(\C)C1OC(=O)C(O[SiH](C)C)C(C(C)(C)C)CCC(C)(O)C(OC(C)=O)C=CC1C.CCOCC(=O)O	CCOCC(=O)OC(CC)C(C)C1OC1CC(C)/C=C/C=C(\C)C1OC(=O)C(O[SiH](C)C)C(C(C)(C)C)CCC(C)(O)C(OC(C)=O)C=CC1C	O=C1CCCCCCC=CCC(C=C/C=C/CCC2CO2)O1	holdout
CCOCCC(=O)O.O=C1c2c(c(O)c3nccnc3c2O)C(=O)N1Cc1ccc(Cl)c(Cl)c1	CCOCCC(=O)Oc1c2c(c(O)c3nccnc13)C(=O)N(Cc1ccc(Cl)c(Cl)c1)C2=O	O=C1c2cc3nccnc3cc2C(=O)N1Cc1ccccc1	dev
CC(C)C[C@H](NC(=O)OC(C)(C)C)C(=O)O.OC1CNCC1SCc1ccccc1	CC(C)C[C@H](NC(=O)OC(C)(C)C)C(=O)N1CC(O)C(SCc2ccccc2)C1	c1ccc(CSC2CCNC2)cc1	holdout
CCCCCCCCCCCCCCCCCCCCO.O=C(O)c1ccccc1	CCCCCCCCCCCCCCCCCCCCOC(=O)c1ccccc1	c1ccccc1	validation
CS[C@H]([C@@H](C)C(=O)O)[C@@H]1CCCN1C(=O)OC(C)(C)C.NCCc1cccc(O)c1	CS[C@H]([C@@H](C)C(=O)NCCc1cccc(O)c1)[C@@H]1CCCN1C(=O)OC(C)(C)C	O=C(CC[C@@H]1CCCN1)NCCc1ccccc1	dev
CO.O=C(O)c1ccc(O)c(C(F)(F)F)c1	COC(=O)c1ccc(O)c(C(F)(F)F)c1	c1ccccc1	validation
CC(C)(C)OC(=O)CCO.COc1cc(C(=O)O)ccc1NC(=O)[C@@H]1N[C@@H](CC(C)(C)C)[C@](C#N)(c2ccc(Cl)cc2F)[C@H]1c1cccc(Cl)c1F	COc1cc(C(=O)OCCC(=O)OC(C)(C)C)ccc1NC(=O)[C@@H]1N[C@@H](CC(C)(C)C)[C@](C#N)(c2ccc(Cl)cc2F)[C@H]1c1cccc(Cl)c1F	O=C(Nc1ccccc1)[C@@H]1NCC(c2ccccc2)[C@H]1c1ccccc1	holdout
CCCCCCCC/C=C\CCCCCCCC(=O)O.CN(C)CCO	CCCCCCCC/C=C\CCCCCCCC(=O)OCCN(C)C	CCCCCCCC/C=C\CCCCCCCC(=O)OCCN(C)C	holdout
CC(C)C(Nc1ccc(C(F)(F)F)cc1Cl)C(=O)O.O=C(c1ccccc1)c1cccc(CO)n1	CC(C)C(Nc1ccc(C(F)(F)F)cc1Cl)C(=O)OCc1cccc(C(=O)c2ccccc2)n1	O=C(CNc1ccccc1)OCc1cccc(C(=O)c2ccccc2)n1	dev
CO.O=C(O)Cc1ccc(F)cc1I	COC(=O)Cc1ccc(F)cc1I	c1ccccc1	validation
CCO.Nc1ccc(C(=O)O)cn1	CCOC(=O)c1ccc(N)nc1	c1ccncc1	dev
CC(C(=O)O)c1ccc(Br)cc1.CCOC(=O)[C@H](C)O	CCOC(=O)[C@H](C)OC(=O)[C@@H](C)c1ccc(Br)cc1	c1ccccc1	validation
CCO.O=C(O)C=Cc1ccc(C2CCCCC2)c(Cl)c1	CCOC(=O)C=Cc1ccc(C2CCCCC2)c(Cl)c1	c1ccc(C2CCCCC2)cc1	dev
CC(=O)C(=O)O.O=c1ccn([C@@H]2O[C@H](CO)[C@@H](O)[C@H]2O)c(=O)[nH]1	CC(=O)C(=O)OC[C@H]1O[C@@H](n2ccc(=O)[nH]c2=O)[C@H](O)[C@@H]1O	O=c1ccn([C@H]2CCCO2)c(=O)[nH]1	dev
CC(C)(C)OC(=O)NCCC[C@@H](Cc1ncn2c1CCc1ccccc1-2)C(=O)O.CCCCCCCO	CCCCCCCOC(=O)[C@@H](CCCNC(=O)OC(C)(C)C)Cc1ncn2c1CCc1ccccc1-2	c1ccc2c(c1)CCc1cncn1-2	dev
O=C(O)CCc1ccc(Oc2ccc(O)cc2)cc1.OCCc1ccc(O)cc1	O=C(CCc1ccc(Oc2ccc(O)cc2)cc1)OCCc1ccc(O)cc1	O=C(CCc1ccc(Oc2ccccc2)cc1)OCCc1ccccc1	holdout
COC(=O)C1=C(C)NC(C)=C(C(=O)O)C1c1cccc([N+](=O)[O-])c1.OC/C=C/C#Cc1ccc(Cc2ncc[nH]2)cc1	COC(=O)C1=C(C)NC(C)=C(C(=O)OC/C=C/C#Cc2ccc(Cc3ncc[nH]3)cc2)C1c1cccc([N+](=O)[O-])c1	O=C(OC/C=C/C#Cc1ccc(Cc2ncc[nH]2)cc1)C1=CNC=CC1c1ccccc1	dev
CCOC(Cc1ccc(C(C)(C)O[SiH2]C(C)(C)C)cc1)C(=O)O.OCC(Cl)(Cl)Cl	CCOC(Cc1ccc(C(C)(C)O[SiH2]C(C)(C)C)cc1)C(=O)OCC(Cl)(Cl)Cl	c1ccccc1	validation
C=C(CO)COC(=O)OCCCCCCCCCCCCCCCCCC.O=C(O)CCCCCCBr	C=C(COC(=O)CCCCCCBr)COC(=O)OCCCCCCCCCCCCCCCCCC	C=C(COC(=O)CCCCCCBr)COC(=O)OCCCCCCCCCCCCCCCCCC	dev
CC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CCCC(=O)O.OC[C@@H]1[C@@H](O)[C@H](O)[C@@H](O)CN1CCCCl	CC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CCCC(=O)OCCCN1CC(O)C(O)[C@H](O)C1CO	C1CCNCC1	dev
O=C(O)C(=O)c1cccs1.OC12CCN(CC1)CC2	O=C(OC12CCN(CC1)CC2)C(=O)c1cccs1	O=C(OC12CCN(CC1)CC2)C(=O)c1cccs1	dev
CC(C)(CO)NC(=O)OC(C)(C)C.CC(C)[C@H](NC(=O)OCc1ccccc1)C(=O)O	CC(C)[C@H](NC(=O)OCc1ccccc1)C(=O)OCC(C)(C)NC(=O)OC(C)(C)C	c1ccccc1	validation
CC1(C)CCC=C1c1cc(C(=O)O)ccc1-c1cc(O)ccc1F.CO	COC(=O)c1ccc(-c2cc(O)ccc2F)c(C2=CCCC2(C)C)c1	C1=C(c2ccccc2-c2ccccc2)CCC1	validation
CC1(C)CCCC2(C1)CC2(C)C(=O)O.CCOC(=O)CO	CCOC(=O)COC(=O)C1(C)CC12CCCC(C)(C)C2	C1CCC2(CC1)CC2	holdout
COC(=O)[C@@H]1[C@@H](O)CCN1C(=O)OC(C)(C)C.O=C(O)c1ccccc1	COC(=O)[C@@H]1[C@H](OC(=O)c2ccccc2)CCN1C(=O)OC(C)(C)C	O=C(O[C@@H]1CCNC1)c1ccccc1	dev
C#CC(O)c1ccc2ccccc2c1.O=C(O)C1CC1	C#CC(OC(=O)C1CC1)c1ccc2ccccc2c1	O=C(OCc1ccc2ccccc2c1)C1CC1	dev
CC(C)=CCc1ccc(C(C)C(=O)O)cc1.OCC1CCCO1	CC(C)=CCc1ccc(C(C)C(=O)OCC2CCCO2)cc1	O=C(Cc1ccccc1)OCC1CCCO1	validation
CC(C)[C@H](NC(=O)OCc1ccccc1)C(=O)O.COc1ccc(COC(=O)C2CCC(O)CC2)cc1	COc1ccc(COC(=O)C2CCC(OC(=O)[C@@H](NC(=O)OCc3ccccc3)C(C)C)CC2)cc1	O=C(CNC(=O)OCc1ccccc1)OC1CCC(C(=O)OCc2ccccc2)CC1	dev
C=CC[C@@H](CC(=O)OC(C)(C)C)C(=O)O.OC[C@@H]1CCCN1	C=CC[C@@H](CC(=O)OC(C)(C)C)C(=O)N1CCC[C@H]1CO	C1CCNC1	holdout
CC(C)(C)OC(=O)N1CCN(S(=O)(=O)c2cc(C(=O)O)ccc2F)CC1.Cc1cc(C)cc(O)c1	Cc1cc(C)cc(Oc2ccc(C(=O)O)cc2S(=O)(=O)N2CCN(C(=O)OC(C)(C)C)CC2)c1	O=S(=O)(c1ccccc1Oc1ccccc1)N1CCNCC1	dev
CCCCCCCCCCCCO.O=C(O)c1ccccc1[N+](=O)[O-]	CCCCCCCCCCCCOC(=O)c1ccccc1[N+](=O)[O-]	c1ccccc1	validation
CC(C)O.O=C(O)C=Cc1ccco1	CC(C)OC(=O)/C=C/c1ccco1	c1ccoc1	dev
CCO.O=C(O)C(c1ccccc1)c1ccccc1	CCOC(=O)C(c1ccccc1)c1ccccc1	c1ccc(Cc2ccccc2)cc1	dev
CCCCCCCCc1ccc(C(=O)O)s1.CCCC[Si](C)(C)CCCOc1ccc(O)cc1	CCCCCCCCc1ccc(C(=O)Oc2ccc(OCCC[Si](C)(C)CCCC)cc2)s1	O=C(Oc1ccccc1)c1cccs1	validation
CC(C)(C)OC(=O)N1C[C@H](N)CC[C@@H]1CC1(O)CCOCC1.CC(C)n1nc(C(=O)O)c2ccccc21	CC(C)n1nc(C(=O)N[C@@H]2CC[C@H](CC3(O)CCOCC3)N(C(=O)OC(C)(C)C)C2)c2ccccc21	O=C(N[C@@H]1CC[C@H](CC2CCOCC2)NC1)c1n[nH]c2ccccc12	dev
CC(C)(C)OC(=O)NCC(=O)O.Cc1nn(-c2ccc(C(N)=O)c(N[C@H]3CC[C@H](O)CC3)c2)c2cccc(-c3cnc4ccccc4c3)c12	Cc1nn(-c2ccc(C(N)=O)c(N[C@H]3CC[C@H](OC(=O)CNC(=O)OC(C)(C)C)CC3)c2)c2cccc(-c3cnc4ccccc4c3)c12	c1cc(NC2CCCCC2)cc(-n2ncc3c(-c4cnc5ccccc5c4)cccc32)c1	validation
O=C(O)/C=C/c1ccc(C(F)(F)Oc2ccc(OCCCC(F)(F)F)cc2)cc1.O=[N+]([O-])c1ccc(CCO)c([N+](=O)[O-])c1	O=C(/C=C/c1ccc(C(F)(F)Oc2ccc(OCCCC(F)(F)F)cc2)cc1)OCCc1ccc([N+](=O)[O-])cc1[N+](=O)[O-]	O=C(/C=C/c1ccc(COc2ccccc2)cc1)OCCc1ccccc1	validation
CN(C)Cc1ccc([C@H]2CC[C@H](O)CC2)cc1.Cc1cc(C(=O)O)ccc1Cl	Cc1cc(C(=O)O[C@H]2CC[C@H](c3ccc(CN(C)C)cc3)CC2)ccc1Cl	O=C(O[C@H]1CC[C@H](c2ccccc2)CC1)c1ccccc1	holdout
CC(C)(C)OC(=O)[C@@H](N)Cc1ccc(O)cc1.O=C(O)[C@@H]1CCC(=O)N1Cc1ccccc1	CC(C)(C)OC(=O)[C@H](Cc1ccc(O)cc1)NC(=O)[C@@H]1CCC(=O)N1Cc1ccccc1	O=C(NCCc1ccccc1)[C@@H]1CCC(=O)N1Cc1ccccc1	dev
CC(C)O.Cc1ccn(-c2cc(-c3ccc(C)c(C)c3)ccc2[C@@H](Oc2cc(N3CCC4(CC3)CN[C@H](C(=O)O)C4)nc(N)n2)C(F)(F)F)n1	Cc1ccn(-c2cc(-c3ccc(C)c(C)c3)ccc2[C@@H](Oc2cc(N3CCC4(CC3)CN[C@H](C(=O)OC(C)C)C4)nc(N)n2)C(F)(F)F)n1	c1ccc(-c2ccc(COc3cc(N4CCC5(CCNC5)CC4)ncn3)c(-n3cccn3)c2)cc1	holdout
CC(C)(C)OC(=O)n1cnc(C[C@H](NC(=O)[C@H](Cc2ccccc2)CS(=O)(=O)C(C)(C)C)C(=O)O)c1.N[C@@H](CC1CCCCC1)[C@@H](O)[C@@H](O)C1CC1	CC(C)(C)OC(=O)n1cnc(C[C@H](NC(=O)[C@H](Cc2ccccc2)CS(=O)(=O)C(C)(C)C)C(=O)N[C@@H](CC2CCCCC2)[C@@H](O)[C@@H](O)C2CC2)c1	O=C(CCc1ccccc1)N[C@@H](Cc1c[nH]cn1)C(=O)N[C@H](CCC1CC1)CC1CCCCC1	dev
CC(C)(C)OC(=O)N[C@@H](CCC(=O)O)C(=O)OC(C)(C)C.O=[N+]([O-])OCCCO	CC(C)(C)OC(=O)N[C@@H](CCC(=O)OCCCO[N+](=O)[O-])C(=O)OC(C)(C)C	CC(C)(C)OC(=O)N[C@@H](CCC(=O)OCCCO[N+](=O)[O-])C(=O)OC(C)(C)C	dev
CC(C)(C)OC(=O)NCC(=O)NCC(=O)O.Oc1cc(Cl)c(Cl)cc1Cl	CC(C)(C)OC(=O)NCC(=O)NCC(=O)Oc1cc(Cl)c(Cl)cc1Cl	c1ccccc1	validation
CCCCCCCCCCCCCCCCNc1ccc(CCC(=O)O)cc1.OCCCO	CCCCCCCCCCCCCCCCNc1ccc(CCC(=O)OCCCO)cc1	c1ccccc1	validation
CC(C)[C@@]1(CC(C)(C)O)CCN([C@@H](C)c2ccc(B3OC(C)(C)C(C)(C)O3)cc2)C(=O)O1.O=C(O)c1ncc(Br)cn1	CC(C)[C@@]1(CC(C)(C)O)CCN([C@@H](C)c2ccc(-c3cnc(C(=O)O)nc3)cc2)C(=O)O1	O=C1OCCCN1Cc1ccc(-c2cncnc2)cc1	validation
CO.Cc1ccccc1C(=O)O	COC(=O)c1ccccc1C	c1ccccc1	validation
CCO.O=C(O)Cc1c(F)cccc1Cl	CCOC(=O)Cc1c(F)cccc1Cl	c1ccccc1	validation
CCO.O=C(O)c1ccccc1Oc1cccc(F)c1	CCOC(=O)c1ccccc1Oc1cccc(F)c1	c1ccc(Oc2ccccc2)cc1	dev
CC(C)(C)OC(=O)N1CC[C@@H](O)C1.O=C(O)[C@](O)(c1ccccc1)C1CCCC1	CC(C)(C)OC(=O)N1CC[C@@H](OC(=O)[C@](O)(c2ccccc2)C2CCCC2)C1	O=C(O[C@@H]1CCNC1)C(c1ccccc1)C1CCCC1	holdout
CO.Cn1cc([N+](=O)[O-])c(C(=O)O)n1	COC(=O)c1nn(C)cc1[N+](=O)[O-]	c1cn[nH]c1	validation
CCN(CC)CC#CCO.O=C(O)C(O)(c1ccccc1)C1CCCCC1	CCN(CC)CC#CCOC(=O)C(O)(c1ccccc1)C1CCCCC1	c1ccc(CC2CCCCC2)cc1	holdout
CC(C)O.CCOC(Cc1ccc(OCc2ccccc2)cc1)C(=O)O	CCOC(Cc1ccc(OCc2ccccc2)cc1)C(=O)OC(C)C	c1ccc(COc2ccccc2)cc1	dev
Cc1[nH]c(C(=O)O)cc1Br.NC(=O)c1cc(Cl)nc(N2CCC(O)CC2)c1	Cc1[nH]c(C(=O)OC2CCN(c3cc(C(N)=O)cc(Cl)n3)CC2)cc1Br	O=C(OC1CCN(c2ccccn2)CC1)c1ccc[nH]1	dev
CCCO.Cc1cc(O)c(C(=O)O)c(=O)o1	CCCOC(=O)c1c(O)cc(C)oc1=O	O=c1cccco1	dev
O=C(O)CNC(=O)c1ccc(OCc2ccccc2)cc1.Oc1c(F)c(F)c(F)c(F)c1F	O=C(CNC(=O)c1ccc(OCc2ccccc2)cc1)Oc1c(F)c(F)c(F)c(F)c1F	O=C(CNC(=O)c1ccc(OCc2ccccc2)cc1)Oc1ccccc1	dev
CO.O=C(O)C=Cc1cccc(Br)c1	COC(=O)/C=C/c1cccc(Br)c1	c1ccccc1	validation
CO.N[C@@H](CC(=O)O)c1ccccc1	COC(=O)C[C@H](N)c1ccccc1	c1ccccc1	validation
CCCCOc1ccc(/C=C/C(=O)O)cc1OC.OCCCCCCCl	CCCCOc1ccc(/C=C/C(=O)OCCCCCCO)cc1OC	c1ccccc1	validation
C#CCO.CC(O)C(=O)O	C#CCOC(=O)C(C)O	C#CCOC(=O)C(C)O	dev
CC(C)(C)OC(=O)N1CCC2(CC1)C(=O)N(Cc1cccc(C(=O)O)c1)CN2c1ccccc1.OCCN1CCOCC1	CC(C)(C)OC(=O)N1CCC2(CC1)C(=O)N(Cc1cccc(C(=O)OCCN3CCOCC3)c1)CN2c1ccccc1	O=C(OCCN1CCOCC1)c1cccc(CN2CN(c3ccccc3)C3(CCNCC3)C2=O)c1	validation
CCSC1CCSc2c(Cl)cc(C(=O)O)c(C)c21.CCn1nccc1O	CCSC1CCSc2c(Cl)cc(C(=O)Oc3ccnn3CC)c(C)c21	O=C(Oc1ccn[nH]1)c1ccc2c(c1)CCCS2	dev
