name,n_phonemes,duration_s,role,license
en011a,513,106.64,train,"CC-BY-NC-SA-4.0 (KAIST CSD, Zenodo 4916302)"
en011b,515,106.88,train,"CC-BY-NC-SA-4.0 (KAIST CSD, Zenodo 4916302)"
en012a,499,135.49,train,"CC-BY-NC-SA-4.0 (KAIST CSD, Zenodo 4916302)"
en012b,497,135.14,train,"CC-BY-NC-SA-4.0 (KAIST CSD, Zenodo 4916302)"
en013a,288,44.75,train,"CC-BY-NC-SA-4.0 (KAIST CSD, Zenodo 4916302)"
en013b,286,44.75,train,"CC-BY-NC-SA-4.0 (KAIST CSD, Zenodo 4916302)"
en014a,366,107.05,train,"CC-BY-NC-SA-4.0 (KAIST CSD, Zenodo 4916302)"
en014b,362,106.98,train,"CC-BY-NC-SA-4.0 (KAIST CSD, Zenodo 4916302)"
en015a,490,68.12,train,"CC-BY-NC-SA-4.0 (KAIST CSD, Zenodo 4916302)"
en015b,486,68.25,train,"CC-BY-NC-SA-4.0 (KAIST CSD, Zenodo 4916302)"
en016a,346,69.97,train,"CC-BY-NC-SA-4.0 (KAIST CSD, Zenodo 4916302)"
en016b,344,69.66,train,"CC-BY-NC-SA-4.0 (KAIST CSD, Zenodo 4916302)"
en017a,119,16.96,train,"CC-BY-NC-SA-4.0 (KAIST CSD, Zenodo 4916302)"
en017b,117,16.90,train,"CC-BY-NC-SA-4.0 (KAIST CSD, Zenodo 4916302)"
en018a,607,82.42,train,"CC-BY-NC-SA-4.0 (KAIST CSD, Zenodo 4916302)"
en018b,595,82.51,train,"CC-BY-NC-SA-4.0 (KAIST CSD, Zenodo 4916302)"
en019a,272,78.64,train,"CC-BY-NC-SA-4.0 (KAIST CSD, Zenodo 4916302)"
en019b,272,79.09,train,"CC-BY-NC-SA-4.0 (KAIST CSD, Zenodo 4916302)"
en020a,232,41.50,train,"CC-BY-NC-SA-4.0 (KAIST CSD, Zenodo 4916302)"
en020b,234,41.50,train,"CC-BY-NC-SA-4.0 (KAIST CSD, Zenodo 4916302)"
en021a,575,78.87,train,"CC-BY-NC-SA-4.0 (KAIST CSD, Zenodo 4916302)"
en021b,583,78.81,train,"CC-BY-NC-SA-4.0 (KAIST CSD, Zenodo 4916302)"
en022a,437,69.47,train,"CC-BY-NC-SA-4.0 (KAIST CSD, Zenodo 4916302)"
en022b,446,69.47,train,"CC-BY-NC-SA-4.0 (KAIST CSD, Zenodo 4916302)"
en023a,319,122.50,train,"CC-BY-NC-SA-4.0 (KAIST CSD, Zenodo 4916302)"
en023b,322,122.50,train,"CC-BY-NC-SA-4.0 (KAIST CSD, Zenodo 4916302)"
en024a,334,73.76,train,"CC-BY-NC-SA-4.0 (KAIST CSD, Zenodo 4916302)"
en024b,333,73.90,train,"CC-BY-NC-SA-4.0 (KAIST CSD, Zenodo 4916302)"
en025a,508,88.66,test,"CC-BY-NC-SA-4.0 (KAIST CSD, Zenodo 4916302)"
en025b,509,88.66,train,"CC-BY-NC-SA-4.0 (KAIST CSD, Zenodo 4916302)"
en026a,296,46.64,train,"CC-BY-NC-SA-4.0 (KAIST CSD, Zenodo 4916302)"
en026b,294,46.64,train,"CC-BY-NC-SA-4.0 (KAIST CSD, Zenodo 4916302)"
en027a,490,76.43,train,"CC-BY-NC-SA-4.0 (KAIST CSD, Zenodo 4916302)"
en027b,492,76.43,train,"CC-BY-NC-SA-4.0 (KAIST CSD, Zenodo 4916302)"
en028a,707,103.85,train,"CC-BY-NC-SA-4.0 (KAIST CSD, Zenodo 4916302)"
en028b,703,103.76,train,"CC-BY-NC-SA-4.0 (KAIST CSD, Zenodo 4916302)"
en029a,351,59.96,train,"CC-BY-NC-SA-4.0 (KAIST CSD, Zenodo 4916302)"
en029b,348,59.84,train,"CC-BY-NC-SA-4.0 (KAIST CSD, Zenodo 4916302)"
en030a,498,70.07,train,"CC-BY-NC-SA-4.0 (KAIST CSD, Zenodo 4916302)"
en030b,497,70.07,train,"CC-BY-NC-SA-4.0 (KAIST CSD, Zenodo 4916302)"
en031a,464,77.63,train,"CC-BY-NC-SA-4.0 (KAIST CSD, Zenodo 4916302)"
en031b,464,77.72,train,"CC-BY-NC-SA-4.0 (KAIST CSD, Zenodo 4916302)"
en032a,612,94.85,train,"CC-BY-NC-SA-4.0 (KAIST CSD, Zenodo 4916302)"
en032b,609,94.36,train,"CC-BY-NC-SA-4.0 (KAIST CSD, Zenodo 4916302)"
en033a,388,126.08,train,"CC-BY-NC-SA-4.0 (KAIST CSD, Zenodo 4916302)"
en033b,385,126.15,train,"CC-BY-NC-SA-4.0 (KAIST CSD, Zenodo 4916302)"
en034a,463,68.69,train,"CC-BY-NC-SA-4.0 (KAIST CSD, Zenodo 4916302)"
en034b,463,69.12,train,"CC-BY-NC-SA-4.0 (KAIST CSD, Zenodo 4916302)"
en035a,364,114.95,train,"CC-BY-NC-SA-4.0 (KAIST CSD, Zenodo 4916302)"
en035b,367,115.01,train,"CC-BY-NC-SA-4.0 (KAIST CSD, Zenodo 4916302)"
en036a,329,46.51,train,"CC-BY-NC-SA-4.0 (KAIST CSD, Zenodo 4916302)"
en036b,322,46.58,train,"CC-BY-NC-SA-4.0 (KAIST CSD, Zenodo 4916302)"
en037a,366,94.45,train,"CC-BY-NC-SA-4.0 (KAIST CSD, Zenodo 4916302)"
en037b,365,94.72,train,"CC-BY-NC-SA-4.0 (KAIST CSD, Zenodo 4916302)"
en038a,273,40.38,train,"CC-BY-NC-SA-4.0 (KAIST CSD, Zenodo 4916302)"
en038b,274,40.35,train,"CC-BY-NC-SA-4.0 (KAIST CSD, Zenodo 4916302)"
en039a,629,130.31,train,"CC-BY-NC-SA-4.0 (KAIST CSD, Zenodo 4916302)"
en039b,630,130.62,train,"CC-BY-NC-SA-4.0 (KAIST CSD, Zenodo 4916302)"
en040a,527,74.36,test,"CC-BY-NC-SA-4.0 (KAIST CSD, Zenodo 4916302)"
en040b,527,74.36,train,"CC-BY-NC-SA-4.0 (KAIST CSD, Zenodo 4916302)"
en041a,212,27.08,train,"CC-BY-NC-SA-4.0 (KAIST CSD, Zenodo 4916302)"
en041b,216,26.96,train,"CC-BY-NC-SA-4.0 (KAIST CSD, Zenodo 4916302)"
en042a,238,81.35,train,"CC-BY-NC-SA-4.0 (KAIST CSD, Zenodo 4916302)"
en042b,230,81.62,train,"CC-BY-NC-SA-4.0 (KAIST CSD, Zenodo 4916302)"
en043a,345,64.06,train,"CC-BY-NC-SA-4.0 (KAIST CSD, Zenodo 4916302)"
en043b,342,64.21,train,"CC-BY-NC-SA-4.0 (KAIST CSD, Zenodo 4916302)"
en044a,844,107.86,train,"CC-BY-NC-SA-4.0 (KAIST CSD, Zenodo 4916302)"
en044b,869,107.81,train,"CC-BY-NC-SA-4.0 (KAIST CSD, Zenodo 4916302)"
en045a,342,55.60,train,"CC-BY-NC-SA-4.0 (KAIST CSD, Zenodo 4916302)"
en045b,344,55.60,train,"CC-BY-NC-SA-4.0 (KAIST CSD, Zenodo 4916302)"
en046a,392,53.22,train,"CC-BY-NC-SA-4.0 (KAIST CSD, Zenodo 4916302)"
en046b,392,53.22,train,"CC-BY-NC-SA-4.0 (KAIST CSD, Zenodo 4916302)"
en047a,468,82.88,train,"CC-BY-NC-SA-4.0 (KAIST CSD, Zenodo 4916302)"
en047b,467,83.01,train,"CC-BY-NC-SA-4.0 (KAIST CSD, Zenodo 4916302)"
en048a,733,138.27,train,"CC-BY-NC-SA-4.0 (KAIST CSD, Zenodo 4916302)"
en048b,728,138.24,train,"CC-BY-NC-SA-4.0 (KAIST CSD, Zenodo 4916302)"
en049a,428,71.93,train,"CC-BY-NC-SA-4.0 (KAIST CSD, Zenodo 4916302)"
en049b,426,71.81,train,"CC-BY-NC-SA-4.0 (KAIST CSD, Zenodo 4916302)"
en050a,457,123.42,test,"CC-BY-NC-SA-4.0 (KAIST CSD, Zenodo 4916302)"
en050b,457,123.55,train,"CC-BY-NC-SA-4.0 (KAIST CSD, Zenodo 4916302)"
