name_a,name_b,outcome_a,outcome_b,pair_kind,cosine_similarity
mathd_algebra_304,mathd_algebra_440,Accepted,Accepted,within_accept,0.343750
mathd_algebra_304,mathd_algebra_119,Accepted,Accepted,within_accept,0.268555
mathd_algebra_304,mathd_algebra_568,Accepted,Accepted,within_accept,0.274780
mathd_algebra_304,mathd_algebra_142,Accepted,Accepted,within_accept,0.289062
mathd_algebra_304,mathd_algebra_427,Accepted,Accepted,within_accept,0.263916
mathd_algebra_304,mathd_algebra_126,Accepted,Accepted,within_accept,0.294312
mathd_algebra_304,mathd_numbertheory_541,Accepted,Rejected,between,0.303101
mathd_algebra_304,mathd_algebra_410,Accepted,Accepted,within_accept,0.315918
mathd_algebra_304,mathd_algebra_101,Accepted,Accepted,within_accept,0.306030
mathd_algebra_304,mathd_algebra_55,Accepted,Accepted,within_accept,0.237427
mathd_algebra_304,mathd_algebra_362,Accepted,Rejected,between,0.286499
mathd_algebra_304,mathd_algebra_107,Accepted,Accepted,within_accept,0.272217
mathd_algebra_304,mathd_algebra_441,Accepted,Accepted,within_accept,0.282593
mathd_algebra_304,mathd_algebra_267,Accepted,Rejected,between,0.276733
mathd_algebra_304,mathd_numbertheory_234,Accepted,Rejected,between,0.274902
mathd_algebra_304,mathd_algebra_123,Accepted,Accepted,within_accept,0.263794
mathd_algebra_304,mathd_algebra_251,Accepted,Rejected,between,0.304443
mathd_algebra_304,mathd_algebra_400,Accepted,Accepted,within_accept,0.307129
mathd_algebra_304,mathd_numbertheory_326,Accepted,Accepted,within_accept,0.319092
mathd_algebra_304,mathd_numbertheory_1124,Accepted,Accepted,within_accept,0.333130
mathd_algebra_304,mathd_algebra_354,Accepted,Accepted,within_accept,0.270630
mathd_algebra_304,mathd_algebra_181,Accepted,Rejected,between,0.312866
mathd_algebra_304,mathd_algebra_176,Accepted,Accepted,within_accept,0.327148
mathd_algebra_304,mathd_algebra_80,Accepted,Rejected,between,0.315186
mathd_algebra_304,mathd_algebra_478,Accepted,Rejected,between,0.236450
mathd_algebra_304,mathd_algebra_234,Accepted,Accepted,within_accept,0.282471
mathd_algebra_304,mathd_algebra_432,Accepted,Accepted,within_accept,0.331055
mathd_algebra_24,mathd_algebra_440,Accepted,Accepted,within_accept,0.385254
mathd_algebra_24,mathd_algebra_119,Accepted,Accepted,within_accept,0.228271
mathd_algebra_24,mathd_algebra_568,Accepted,Accepted,within_accept,0.253296
mathd_algebra_24,mathd_algebra_142,Accepted,Accepted,within_accept,0.251709
mathd_algebra_24,mathd_algebra_427,Accepted,Accepted,within_accept,0.231201
mathd_algebra_24,mathd_algebra_126,Accepted,Accepted,within_accept,0.281616
mathd_algebra_24,mathd_numbertheory_541,Accepted,Rejected,between,0.245728
mathd_algebra_24,mathd_algebra_410,Accepted,Accepted,within_accept,0.273438
mathd_algebra_24,mathd_algebra_101,Accepted,Accepted,within_accept,0.342651
mathd_algebra_24,mathd_algebra_55,Accepted,Accepted,within_accept,0.198608
mathd_algebra_24,mathd_algebra_362,Accepted,Rejected,between,0.225952
mathd_algebra_24,mathd_algebra_107,Accepted,Accepted,within_accept,0.267578
mathd_algebra_24,mathd_algebra_441,Accepted,Accepted,within_accept,0.346802
mathd_algebra_24,mathd_algebra_267,Accepted,Rejected,between,0.308228
mathd_algebra_24,mathd_numbertheory_234,Accepted,Rejected,between,0.222168
mathd_algebra_24,mathd_algebra_123,Accepted,Accepted,within_accept,0.222290
mathd_algebra_24,mathd_algebra_251,Accepted,Rejected,between,0.358398
mathd_algebra_24,mathd_algebra_400,Accepted,Accepted,within_accept,0.332031
mathd_algebra_24,mathd_numbertheory_326,Accepted,Accepted,within_accept,0.282715
mathd_algebra_24,mathd_numbertheory_1124,Accepted,Accepted,within_accept,0.299927
mathd_algebra_24,mathd_algebra_354,Accepted,Accepted,within_accept,0.250366
mathd_algebra_24,mathd_algebra_181,Accepted,Rejected,between,0.301392
mathd_algebra_24,mathd_algebra_176,Accepted,Accepted,within_accept,0.323975
mathd_algebra_24,mathd_algebra_80,Accepted,Rejected,between,0.351318
mathd_algebra_24,mathd_algebra_478,Accepted,Rejected,between,0.214722
mathd_algebra_24,mathd_algebra_234,Accepted,Accepted,within_accept,0.321289
mathd_algebra_24,mathd_algebra_432,Accepted,Accepted,within_accept,0.376221
mathd_algebra_440,mathd_algebra_119,Accepted,Accepted,within_accept,0.230957
mathd_algebra_440,mathd_algebra_568,Accepted,Accepted,within_accept,0.227173
mathd_algebra_440,mathd_algebra_142,Accepted,Accepted,within_accept,0.202881
mathd_algebra_440,mathd_algebra_427,Accepted,Accepted,within_accept,0.222168
mathd_algebra_440,mathd_algebra_126,Accepted,Accepted,within_accept,0.255737
mathd_algebra_440,mathd_numbertheory_541,Accepted,Rejected,between,0.244751
mathd_algebra_440,mathd_algebra_410,Accepted,Accepted,within_accept,0.281250
mathd_algebra_440,mathd_algebra_101,Accepted,Accepted,within_accept,0.345337
mathd_algebra_440,mathd_algebra_55,Accepted,Accepted,within_accept,0.184692
mathd_algebra_440,mathd_algebra_362,Accepted,Rejected,between,0.236450
mathd_algebra_440,mathd_algebra_107,Accepted,Accepted,within_accept,0.244873
mathd_algebra_440,mathd_algebra_441,Accepted,Accepted,within_accept,0.280151
mathd_algebra_440,mathd_algebra_267,Accepted,Rejected,between,0.260132
mathd_algebra_440,mathd_numbertheory_234,Accepted,Rejected,between,0.214111
mathd_algebra_440,mathd_algebra_123,Accepted,Accepted,within_accept,0.224243
mathd_algebra_440,mathd_algebra_251,Accepted,Rejected,between,0.340820
mathd_algebra_440,mathd_algebra_400,Accepted,Accepted,within_accept,0.325195
mathd_algebra_440,mathd_numbertheory_326,Accepted,Accepted,within_accept,0.257812
mathd_algebra_440,mathd_numbertheory_1124,Accepted,Accepted,within_accept,0.369995
mathd_algebra_440,mathd_algebra_354,Accepted,Accepted,within_accept,0.214966
mathd_algebra_440,mathd_algebra_181,Accepted,Rejected,between,0.297729
mathd_algebra_440,mathd_algebra_176,Accepted,Accepted,within_accept,0.322266
mathd_algebra_440,mathd_algebra_80,Accepted,Rejected,between,0.323242
mathd_algebra_440,mathd_algebra_478,Accepted,Rejected,between,0.179077
mathd_algebra_440,mathd_algebra_234,Accepted,Accepted,within_accept,0.347656
mathd_algebra_440,mathd_algebra_432,Accepted,Accepted,within_accept,0.289062
mathd_algebra_119,mathd_algebra_568,Accepted,Accepted,within_accept,0.204956
mathd_algebra_119,mathd_algebra_142,Accepted,Accepted,within_accept,0.345703
mathd_algebra_119,mathd_algebra_427,Accepted,Accepted,within_accept,0.163330
mathd_algebra_119,mathd_algebra_126,Accepted,Accepted,within_accept,0.297241
mathd_algebra_119,mathd_numbertheory_541,Accepted,Rejected,between,0.255981
mathd_algebra_119,mathd_algebra_410,Accepted,Accepted,within_accept,0.256348
mathd_algebra_119,mathd_algebra_101,Accepted,Accepted,within_accept,0.199829
mathd_algebra_119,mathd_algebra_55,Accepted,Accepted,within_accept,0.219604
mathd_algebra_119,mathd_algebra_362,Accepted,Rejected,between,0.278687
mathd_algebra_119,mathd_algebra_107,Accepted,Accepted,within_accept,0.273926
mathd_algebra_119,mathd_algebra_441,Accepted,Accepted,within_accept,0.222778
mathd_algebra_119,mathd_algebra_267,Accepted,Rejected,between,0.174438
mathd_algebra_119,mathd_numbertheory_234,Accepted,Rejected,between,0.200195
mathd_algebra_119,mathd_algebra_123,Accepted,Accepted,within_accept,0.203491
mathd_algebra_119,mathd_algebra_251,Accepted,Rejected,between,0.213867
mathd_algebra_119,mathd_algebra_400,Accepted,Accepted,within_accept,0.223389
mathd_algebra_119,mathd_numbertheory_326,Accepted,Accepted,within_accept,0.227051
mathd_algebra_119,mathd_numbertheory_1124,Accepted,Accepted,within_accept,0.224487
mathd_algebra_119,mathd_algebra_354,Accepted,Accepted,within_accept,0.274048
mathd_algebra_119,mathd_algebra_181,Accepted,Rejected,between,0.218384
mathd_algebra_119,mathd_algebra_176,Accepted,Accepted,within_accept,0.244629
mathd_algebra_119,mathd_algebra_80,Accepted,Rejected,between,0.226562
mathd_algebra_119,mathd_algebra_478,Accepted,Rejected,between,0.155396
mathd_algebra_119,mathd_algebra_234,Accepted,Accepted,within_accept,0.232178
mathd_algebra_119,mathd_algebra_432,Accepted,Accepted,within_accept,0.253418
mathd_algebra_568,mathd_algebra_142,Accepted,Accepted,within_accept,0.213745
mathd_algebra_568,mathd_algebra_427,Accepted,Accepted,within_accept,0.158325
mathd_algebra_568,mathd_algebra_126,Accepted,Accepted,within_accept,0.210449
mathd_algebra_568,mathd_numbertheory_541,Accepted,Rejected,between,0.218750
mathd_algebra_568,mathd_algebra_410,Accepted,Accepted,within_accept,0.189819
mathd_algebra_568,mathd_algebra_101,Accepted,Accepted,within_accept,0.219971
mathd_algebra_568,mathd_algebra_55,Accepted,Accepted,within_accept,0.186035
mathd_algebra_568,mathd_algebra_362,Accepted,Rejected,between,0.199463
mathd_algebra_568,mathd_algebra_107,Accepted,Accepted,within_accept,0.169800
mathd_algebra_568,mathd_algebra_441,Accepted,Accepted,within_accept,0.224609
mathd_algebra_568,mathd_algebra_267,Accepted,Rejected,between,0.238770
mathd_algebra_568,mathd_numbertheory_234,Accepted,Rejected,between,0.314575
mathd_algebra_568,mathd_algebra_123,Accepted,Accepted,within_accept,0.220947
mathd_algebra_568,mathd_algebra_251,Accepted,Rejected,between,0.213013
mathd_algebra_568,mathd_algebra_400,Accepted,Accepted,within_accept,0.217163
mathd_algebra_568,mathd_numbertheory_326,Accepted,Accepted,within_accept,0.204224
mathd_algebra_568,mathd_numbertheory_1124,Accepted,Accepted,within_accept,0.205811
mathd_algebra_568,mathd_algebra_354,Accepted,Accepted,within_accept,0.197754
mathd_algebra_568,mathd_algebra_181,Accepted,Rejected,between,0.202881
mathd_algebra_568,mathd_algebra_176,Accepted,Accepted,within_accept,0.235962
mathd_algebra_568,mathd_algebra_80,Accepted,Rejected,between,0.212524
mathd_algebra_568,mathd_algebra_478,Accepted,Rejected,between,0.157959
mathd_algebra_568,mathd_algebra_234,Accepted,Accepted,within_accept,0.203979
mathd_algebra_568,mathd_algebra_432,Accepted,Accepted,within_accept,0.277710
mathd_algebra_142,mathd_algebra_427,Accepted,Accepted,within_accept,0.162598
mathd_algebra_142,mathd_algebra_126,Accepted,Accepted,within_accept,0.303101
mathd_algebra_142,mathd_numbertheory_541,Accepted,Rejected,between,0.303101
mathd_algebra_142,mathd_algebra_410,Accepted,Accepted,within_accept,0.257080
mathd_algebra_142,mathd_algebra_101,Accepted,Accepted,within_accept,0.210327
mathd_algebra_142,mathd_algebra_55,Accepted,Accepted,within_accept,0.186157
mathd_algebra_142,mathd_algebra_362,Accepted,Rejected,between,0.335083
mathd_algebra_142,mathd_algebra_107,Accepted,Accepted,within_accept,0.267822
mathd_algebra_142,mathd_algebra_441,Accepted,Accepted,within_accept,0.184937
mathd_algebra_142,mathd_algebra_267,Accepted,Rejected,between,0.177368
mathd_algebra_142,mathd_numbertheory_234,Accepted,Rejected,between,0.222656
mathd_algebra_142,mathd_algebra_123,Accepted,Accepted,within_accept,0.239624
mathd_algebra_142,mathd_algebra_251,Accepted,Rejected,between,0.204834
mathd_algebra_142,mathd_algebra_400,Accepted,Accepted,within_accept,0.209961
mathd_algebra_142,mathd_numbertheory_326,Accepted,Accepted,within_accept,0.242920
mathd_algebra_142,mathd_numbertheory_1124,Accepted,Accepted,within_accept,0.203735
mathd_algebra_142,mathd_algebra_354,Accepted,Accepted,within_accept,0.322632
mathd_algebra_142,mathd_algebra_181,Accepted,Rejected,between,0.210083
mathd_algebra_142,mathd_algebra_176,Accepted,Accepted,within_accept,0.235107
mathd_algebra_142,mathd_algebra_80,Accepted,Rejected,between,0.212891
mathd_algebra_142,mathd_algebra_478,Accepted,Rejected,between,0.164673
mathd_algebra_142,mathd_algebra_234,Accepted,Accepted,within_accept,0.183594
mathd_algebra_142,mathd_algebra_432,Accepted,Accepted,within_accept,0.274902
mathd_algebra_427,mathd_algebra_126,Accepted,Accepted,within_accept,0.200562
mathd_algebra_427,mathd_numbertheory_541,Accepted,Rejected,between,0.172241
mathd_algebra_427,mathd_algebra_410,Accepted,Accepted,within_accept,0.226318
mathd_algebra_427,mathd_algebra_101,Accepted,Accepted,within_accept,0.187866
mathd_algebra_427,mathd_algebra_55,Accepted,Accepted,within_accept,0.147339
mathd_algebra_427,mathd_algebra_362,Accepted,Rejected,between,0.167847
mathd_algebra_427,mathd_algebra_107,Accepted,Accepted,within_accept,0.179199
mathd_algebra_427,mathd_algebra_441,Accepted,Accepted,within_accept,0.196167
mathd_algebra_427,mathd_algebra_267,Accepted,Rejected,between,0.236206
mathd_algebra_427,mathd_numbertheory_234,Accepted,Rejected,between,0.163086
mathd_algebra_427,mathd_algebra_123,Accepted,Accepted,within_accept,0.179321
mathd_algebra_427,mathd_algebra_251,Accepted,Rejected,between,0.217285
mathd_algebra_427,mathd_algebra_400,Accepted,Accepted,within_accept,0.230713
mathd_algebra_427,mathd_numbertheory_326,Accepted,Accepted,within_accept,0.206299
mathd_algebra_427,mathd_numbertheory_1124,Accepted,Accepted,within_accept,0.191040
mathd_algebra_427,mathd_algebra_354,Accepted,Accepted,within_accept,0.177368
mathd_algebra_427,mathd_algebra_181,Accepted,Rejected,between,0.209595
mathd_algebra_427,mathd_algebra_176,Accepted,Accepted,within_accept,0.240723
mathd_algebra_427,mathd_algebra_80,Accepted,Rejected,between,0.215332
mathd_algebra_427,mathd_algebra_478,Accepted,Rejected,between,0.234497
mathd_algebra_427,mathd_algebra_234,Accepted,Accepted,within_accept,0.190918
mathd_algebra_427,mathd_algebra_432,Accepted,Accepted,within_accept,0.212646
mathd_algebra_126,mathd_numbertheory_541,Accepted,Rejected,between,0.280518
mathd_algebra_126,mathd_algebra_410,Accepted,Accepted,within_accept,0.308472
mathd_algebra_126,mathd_algebra_101,Accepted,Accepted,within_accept,0.221680
mathd_algebra_126,mathd_algebra_55,Accepted,Accepted,within_accept,0.203369
mathd_algebra_126,mathd_algebra_362,Accepted,Rejected,between,0.334717
mathd_algebra_126,mathd_algebra_107,Accepted,Accepted,within_accept,0.391724
mathd_algebra_126,mathd_algebra_441,Accepted,Accepted,within_accept,0.223877
mathd_algebra_126,mathd_algebra_267,Accepted,Rejected,between,0.200195
mathd_algebra_126,mathd_numbertheory_234,Accepted,Rejected,between,0.208862
mathd_algebra_126,mathd_algebra_123,Accepted,Accepted,within_accept,0.249512
mathd_algebra_126,mathd_algebra_251,Accepted,Rejected,between,0.213501
mathd_algebra_126,mathd_algebra_400,Accepted,Accepted,within_accept,0.220093
mathd_algebra_126,mathd_numbertheory_326,Accepted,Accepted,within_accept,0.206665
mathd_algebra_126,mathd_numbertheory_1124,Accepted,Accepted,within_accept,0.237305
mathd_algebra_126,mathd_algebra_354,Accepted,Accepted,within_accept,0.309814
mathd_algebra_126,mathd_algebra_181,Accepted,Rejected,between,0.189941
mathd_algebra_126,mathd_algebra_176,Accepted,Accepted,within_accept,0.255005
mathd_algebra_126,mathd_algebra_80,Accepted,Rejected,between,0.208374
mathd_algebra_126,mathd_algebra_478,Accepted,Rejected,between,0.171143
mathd_algebra_126,mathd_algebra_234,Accepted,Accepted,within_accept,0.182739
mathd_algebra_126,mathd_algebra_432,Accepted,Accepted,within_accept,0.328003
mathd_numbertheory_541,mathd_algebra_410,Rejected,Accepted,between,0.255737
mathd_numbertheory_541,mathd_algebra_101,Rejected,Accepted,between,0.207275
mathd_numbertheory_541,mathd_algebra_55,Rejected,Accepted,between,0.190674
mathd_numbertheory_541,mathd_algebra_362,Rejected,Rejected,within_reject,0.248291
mathd_numbertheory_541,mathd_algebra_107,Rejected,Accepted,between,0.268921
mathd_numbertheory_541,mathd_algebra_441,Rejected,Accepted,between,0.200439
mathd_numbertheory_541,mathd_algebra_267,Rejected,Rejected,within_reject,0.194824
mathd_numbertheory_541,mathd_numbertheory_234,Rejected,Rejected,within_reject,0.250122
mathd_numbertheory_541,mathd_algebra_123,Rejected,Accepted,between,0.286377
mathd_numbertheory_541,mathd_algebra_251,Rejected,Rejected,within_reject,0.215942
mathd_numbertheory_541,mathd_algebra_400,Rejected,Accepted,between,0.213989
mathd_numbertheory_541,mathd_numbertheory_326,Rejected,Accepted,between,0.243530
mathd_numbertheory_541,mathd_numbertheory_1124,Rejected,Accepted,between,0.236816
mathd_numbertheory_541,mathd_algebra_354,Rejected,Accepted,between,0.211426
mathd_numbertheory_541,mathd_algebra_181,Rejected,Rejected,within_reject,0.210449
mathd_numbertheory_541,mathd_algebra_176,Rejected,Accepted,between,0.262817
mathd_numbertheory_541,mathd_algebra_80,Rejected,Rejected,within_reject,0.218140
mathd_numbertheory_541,mathd_algebra_478,Rejected,Rejected,within_reject,0.161133
mathd_numbertheory_541,mathd_algebra_234,Rejected,Accepted,between,0.199341
mathd_numbertheory_541,mathd_algebra_432,Rejected,Accepted,between,0.245728
mathd_algebra_410,mathd_algebra_101,Accepted,Accepted,within_accept,0.243042
mathd_algebra_410,mathd_algebra_55,Accepted,Accepted,within_accept,0.265015
mathd_algebra_410,mathd_algebra_362,Accepted,Rejected,between,0.255493
mathd_algebra_410,mathd_algebra_107,Accepted,Accepted,within_accept,0.284180
mathd_algebra_410,mathd_algebra_441,Accepted,Accepted,within_accept,0.246460
mathd_algebra_410,mathd_algebra_267,Accepted,Rejected,between,0.229614
mathd_algebra_410,mathd_numbertheory_234,Accepted,Rejected,between,0.207031
mathd_algebra_410,mathd_algebra_123,Accepted,Accepted,within_accept,0.240112
mathd_algebra_410,mathd_algebra_251,Accepted,Rejected,between,0.248047
mathd_algebra_410,mathd_algebra_400,Accepted,Accepted,within_accept,0.249512
mathd_algebra_410,mathd_numbertheory_326,Accepted,Accepted,within_accept,0.231445
mathd_algebra_410,mathd_numbertheory_1124,Accepted,Accepted,within_accept,0.237427
mathd_algebra_410,mathd_algebra_354,Accepted,Accepted,within_accept,0.265991
mathd_algebra_410,mathd_algebra_181,Accepted,Rejected,between,0.222778
mathd_algebra_410,mathd_algebra_176,Accepted,Accepted,within_accept,0.285156
mathd_algebra_410,mathd_algebra_80,Accepted,Rejected,between,0.244629
mathd_algebra_410,mathd_algebra_478,Accepted,Rejected,between,0.177856
mathd_algebra_410,mathd_algebra_234,Accepted,Accepted,within_accept,0.215088
mathd_algebra_410,mathd_algebra_432,Accepted,Accepted,within_accept,0.307129
mathd_algebra_101,mathd_algebra_55,Accepted,Accepted,within_accept,0.182617
mathd_algebra_101,mathd_algebra_362,Accepted,Rejected,between,0.200195
mathd_algebra_101,mathd_algebra_107,Accepted,Accepted,within_accept,0.214478
mathd_algebra_101,mathd_algebra_441,Accepted,Accepted,within_accept,0.273682
mathd_algebra_101,mathd_algebra_267,Accepted,Rejected,between,0.273926
mathd_algebra_101,mathd_numbertheory_234,Accepted,Rejected,between,0.182495
mathd_algebra_101,mathd_algebra_123,Accepted,Accepted,within_accept,0.185303
mathd_algebra_101,mathd_algebra_251,Accepted,Rejected,between,0.310425
mathd_algebra_101,mathd_algebra_400,Accepted,Accepted,within_accept,0.299683
mathd_algebra_101,mathd_numbertheory_326,Accepted,Accepted,within_accept,0.267700
mathd_algebra_101,mathd_numbertheory_1124,Accepted,Accepted,within_accept,0.283691
mathd_algebra_101,mathd_algebra_354,Accepted,Accepted,within_accept,0.206055
mathd_algebra_101,mathd_algebra_181,Accepted,Rejected,between,0.259033
mathd_algebra_101,mathd_algebra_176,Accepted,Accepted,within_accept,0.275513
mathd_algebra_101,mathd_algebra_80,Accepted,Rejected,between,0.298706
mathd_algebra_101,mathd_algebra_478,Accepted,Rejected,between,0.172119
mathd_algebra_101,mathd_algebra_234,Accepted,Accepted,within_accept,0.249146
mathd_algebra_101,mathd_algebra_432,Accepted,Accepted,within_accept,0.272339
mathd_algebra_55,mathd_algebra_362,Accepted,Rejected,between,0.190674
mathd_algebra_55,mathd_algebra_107,Accepted,Accepted,within_accept,0.216431
mathd_algebra_55,mathd_algebra_441,Accepted,Accepted,within_accept,0.157471
mathd_algebra_55,mathd_algebra_267,Accepted,Rejected,between,0.155273
mathd_algebra_55,mathd_numbertheory_234,Accepted,Rejected,between,0.173950
mathd_algebra_55,mathd_algebra_123,Accepted,Accepted,within_accept,0.184082
mathd_algebra_55,mathd_algebra_251,Accepted,Rejected,between,0.180298
mathd_algebra_55,mathd_algebra_400,Accepted,Accepted,within_accept,0.173950
mathd_algebra_55,mathd_numbertheory_326,Accepted,Accepted,within_accept,0.174194
mathd_algebra_55,mathd_numbertheory_1124,Accepted,Accepted,within_accept,0.172363
mathd_algebra_55,mathd_algebra_354,Accepted,Accepted,within_accept,0.208252
mathd_algebra_55,mathd_algebra_181,Accepted,Rejected,between,0.173096
mathd_algebra_55,mathd_algebra_176,Accepted,Accepted,within_accept,0.183228
mathd_algebra_55,mathd_algebra_80,Accepted,Rejected,between,0.178101
mathd_algebra_55,mathd_algebra_478,Accepted,Rejected,between,0.131592
mathd_algebra_55,mathd_algebra_234,Accepted,Accepted,within_accept,0.164185
mathd_algebra_55,mathd_algebra_432,Accepted,Accepted,within_accept,0.222778
mathd_algebra_362,mathd_algebra_107,Rejected,Accepted,between,0.284546
mathd_algebra_362,mathd_algebra_441,Rejected,Accepted,between,0.199951
mathd_algebra_362,mathd_algebra_267,Rejected,Rejected,within_reject,0.177246
mathd_algebra_362,mathd_numbertheory_234,Rejected,Rejected,within_reject,0.225952
mathd_algebra_362,mathd_algebra_123,Rejected,Accepted,between,0.313477
mathd_algebra_362,mathd_algebra_251,Rejected,Rejected,within_reject,0.196655
mathd_algebra_362,mathd_algebra_400,Rejected,Accepted,between,0.196899
mathd_algebra_362,mathd_numbertheory_326,Rejected,Accepted,between,0.203003
mathd_algebra_362,mathd_numbertheory_1124,Rejected,Accepted,between,0.241455
mathd_algebra_362,mathd_algebra_354,Rejected,Accepted,between,0.375244
mathd_algebra_362,mathd_algebra_181,Rejected,Rejected,within_reject,0.194336
mathd_algebra_362,mathd_algebra_176,Rejected,Accepted,between,0.224243
mathd_algebra_362,mathd_algebra_80,Rejected,Rejected,within_reject,0.193726
mathd_algebra_362,mathd_algebra_478,Rejected,Rejected,within_reject,0.150635
mathd_algebra_362,mathd_algebra_234,Rejected,Accepted,between,0.201538
mathd_algebra_362,mathd_algebra_432,Rejected,Accepted,between,0.229126
mathd_algebra_107,mathd_algebra_441,Accepted,Accepted,within_accept,0.219116
mathd_algebra_107,mathd_algebra_267,Accepted,Rejected,between,0.190552
mathd_algebra_107,mathd_numbertheory_234,Accepted,Rejected,between,0.185547
mathd_algebra_107,mathd_algebra_123,Accepted,Accepted,within_accept,0.237915
mathd_algebra_107,mathd_algebra_251,Accepted,Rejected,between,0.211914
mathd_algebra_107,mathd_algebra_400,Accepted,Accepted,within_accept,0.218018
mathd_algebra_107,mathd_numbertheory_326,Accepted,Accepted,within_accept,0.209229
mathd_algebra_107,mathd_numbertheory_1124,Accepted,Accepted,within_accept,0.224243
mathd_algebra_107,mathd_algebra_354,Accepted,Accepted,within_accept,0.325562
