file,path,size_bytes,appears_propositional,lean_accepted,notes
aime_1999_p11.lean,/srv/luminous-dynamics/symthaea/data/benchmarks/minif2f/MiniF2F/Test/aime_1999_p11.lean,310,false,skipped,
algebra_2varlineareq_fp3zeq11_3tfm1m5zeqn68_feqn10_zeq7.lean,/srv/luminous-dynamics/symthaea/data/benchmarks/minif2f/MiniF2F/Test/algebra_2varlineareq_fp3zeq11_3tfm1m5zeqn68_feqn10_zeq7.lean,252,false,skipped,
algebra_9onxpypzleqsum2onxpy.lean,/srv/luminous-dynamics/symthaea/data/benchmarks/minif2f/MiniF2F/Test/algebra_9onxpypzleqsum2onxpy.lean,250,false,skipped,
algebra_abpbcpcageq3_sumaonsqrtapbgeq3onsqrt2.lean,/srv/luminous-dynamics/symthaea/data/benchmarks/minif2f/MiniF2F/Test/algebra_abpbcpcageq3_sumaonsqrtapbgeq3onsqrt2.lean,336,false,skipped,
algebra_absapbon1pabsapbleqsumabsaon1pabsa.lean,/srv/luminous-dynamics/symthaea/data/benchmarks/minif2f/MiniF2F/Test/algebra_absapbon1pabsapbleqsumabsaon1pabsa.lean,243,false,skipped,
algebra_absxm1pabsxpabsxp1eqxp2_0leqxleq1.lean,/srv/luminous-dynamics/symthaea/data/benchmarks/minif2f/MiniF2F/Test/algebra_absxm1pabsxpabsxp1eqxp2_0leqxleq1.lean,235,false,skipped,
algebra_amgm_sum1toneqn_prod1tonleq1.lean,/srv/luminous-dynamics/symthaea/data/benchmarks/minif2f/MiniF2F/Test/algebra_amgm_sum1toneqn_prod1tonleq1.lean,261,false,skipped,
algebra_amgm_sumasqdivbgeqsuma.lean,/srv/luminous-dynamics/symthaea/data/benchmarks/minif2f/MiniF2F/Test/algebra_amgm_sumasqdivbgeqsuma.lean,260,false,skipped,
algebra_apbmpcneq0_aeq0anbeq0anceq0.lean,/srv/luminous-dynamics/symthaea/data/benchmarks/minif2f/MiniF2F/Test/algebra_apbmpcneq0_aeq0anbeq0anceq0.lean,304,false,skipped,
algebra_apbon2pownleqapownpbpowon2.lean,/srv/luminous-dynamics/symthaea/data/benchmarks/minif2f/MiniF2F/Test/algebra_apbon2pownleqapownpbpowon2.lean,249,false,skipped,
algebra_apbpceq2_abpbcpcaeq1_aleq1on3anbleq1ancleq4on3.lean,/srv/luminous-dynamics/symthaea/data/benchmarks/minif2f/MiniF2F/Test/algebra_apbpceq2_abpbcpcaeq1_aleq1on3anbleq1ancleq4on3.lean,352,false,skipped,
algebra_bleqa_apbon2msqrtableqambsqon8b.lean,/srv/luminous-dynamics/symthaea/data/benchmarks/minif2f/MiniF2F/Test/algebra_bleqa_apbon2msqrtableqambsqon8b.lean,264,false,skipped,
algebra_cubrtrp1oncubrtreq3_rcubp1onrcubeq5778.lean,/srv/luminous-dynamics/symthaea/data/benchmarks/minif2f/MiniF2F/Test/algebra_cubrtrp1oncubrtreq3_rcubp1onrcubeq5778.lean,239,false,skipped,
algebra_ineq_nto1onlt2m1on.lean,/srv/luminous-dynamics/symthaea/data/benchmarks/minif2f/MiniF2F/Test/algebra_ineq_nto1onlt2m1on.lean,187,false,skipped,
algebra_others_exirrpowirrrat.lean,/srv/luminous-dynamics/symthaea/data/benchmarks/minif2f/MiniF2F/Test/algebra_others_exirrpowirrrat.lean,201,false,skipped,
algebra_sqineq_at2malt1.lean,/srv/luminous-dynamics/symthaea/data/benchmarks/minif2f/MiniF2F/Test/algebra_sqineq_at2malt1.lean,162,false,skipped,
algebra_sqineq_unitcircatbpabsamblt1.lean,/srv/luminous-dynamics/symthaea/data/benchmarks/minif2f/MiniF2F/Test/algebra_sqineq_unitcircatbpabsamblt1.lean,205,false,skipped,
algebra_sqineq_unitcircatbpamblt1.lean,/srv/luminous-dynamics/symthaea/data/benchmarks/minif2f/MiniF2F/Test/algebra_sqineq_unitcircatbpamblt1.lean,202,false,skipped,
algebra_sum1onsqrt2to1onsqrt10000lt198.lean,/srv/luminous-dynamics/symthaea/data/benchmarks/minif2f/MiniF2F/Test/algebra_sum1onsqrt2to1onsqrt10000lt198.lean,211,false,skipped,
amc12_2000_p1.lean,/srv/luminous-dynamics/symthaea/data/benchmarks/minif2f/MiniF2F/Test/amc12_2000_p1.lean,219,false,skipped,
amc12_2000_p12.lean,/srv/luminous-dynamics/symthaea/data/benchmarks/minif2f/MiniF2F/Test/amc12_2000_p12.lean,197,false,skipped,
amc12_2000_p20.lean,/srv/luminous-dynamics/symthaea/data/benchmarks/minif2f/MiniF2F/Test/amc12_2000_p20.lean,257,false,skipped,
amc12_2000_p6.lean,/srv/luminous-dynamics/symthaea/data/benchmarks/minif2f/MiniF2F/Test/amc12_2000_p6.lean,263,false,skipped,
amc12_2001_p21.lean,/srv/luminous-dynamics/symthaea/data/benchmarks/minif2f/MiniF2F/Test/amc12_2001_p21.lean,302,false,skipped,
amc12_2001_p5.lean,/srv/luminous-dynamics/symthaea/data/benchmarks/minif2f/MiniF2F/Test/amc12_2001_p5.lean,244,false,skipped,
amc12a_2002_p13.lean,/srv/luminous-dynamics/symthaea/data/benchmarks/minif2f/MiniF2F/Test/amc12a_2002_p13.lean,262,false,skipped,
amc12a_2002_p6.lean,/srv/luminous-dynamics/symthaea/data/benchmarks/minif2f/MiniF2F/Test/amc12a_2002_p6.lean,194,false,skipped,
amc12a_2003_p23.lean,/srv/luminous-dynamics/symthaea/data/benchmarks/minif2f/MiniF2F/Test/amc12a_2003_p23.lean,258,false,skipped,
amc12a_2003_p5.lean,/srv/luminous-dynamics/symthaea/data/benchmarks/minif2f/MiniF2F/Test/amc12a_2003_p5.lean,275,false,skipped,
amc12a_2008_p25.lean,/srv/luminous-dynamics/symthaea/data/benchmarks/minif2f/MiniF2F/Test/amc12a_2008_p25.lean,319,false,skipped,
amc12a_2009_p6.lean,/srv/luminous-dynamics/symthaea/data/benchmarks/minif2f/MiniF2F/Test/amc12a_2009_p6.lean,214,false,skipped,
amc12a_2009_p7.lean,/srv/luminous-dynamics/symthaea/data/benchmarks/minif2f/MiniF2F/Test/amc12a_2009_p7.lean,337,false,skipped,
amc12a_2013_p4.lean,/srv/luminous-dynamics/symthaea/data/benchmarks/minif2f/MiniF2F/Test/amc12a_2013_p4.lean,175,false,skipped,
amc12a_2019_p12.lean,/srv/luminous-dynamics/symthaea/data/benchmarks/minif2f/MiniF2F/Test/amc12a_2019_p12.lean,314,false,skipped,
amc12a_2020_p10.lean,/srv/luminous-dynamics/symthaea/data/benchmarks/minif2f/MiniF2F/Test/amc12a_2020_p10.lean,250,false,skipped,
amc12a_2020_p15.lean,/srv/luminous-dynamics/symthaea/data/benchmarks/minif2f/MiniF2F/Test/amc12a_2020_p15.lean,236,false,skipped,
amc12a_2020_p25.lean,/srv/luminous-dynamics/symthaea/data/benchmarks/minif2f/MiniF2F/Test/amc12a_2020_p25.lean,293,false,skipped,
amc12a_2020_p4.lean,/srv/luminous-dynamics/symthaea/data/benchmarks/minif2f/MiniF2F/Test/amc12a_2020_p4.lean,285,false,skipped,
amc12a_2020_p7.lean,/srv/luminous-dynamics/symthaea/data/benchmarks/minif2f/MiniF2F/Test/amc12a_2020_p7.lean,403,false,skipped,
amc12a_2020_p9.lean,/srv/luminous-dynamics/symthaea/data/benchmarks/minif2f/MiniF2F/Test/amc12a_2020_p9.lean,261,false,skipped,
amc12a_2021_p12.lean,/srv/luminous-dynamics/symthaea/data/benchmarks/minif2f/MiniF2F/Test/amc12a_2021_p12.lean,337,false,skipped,
amc12a_2021_p14.lean,/srv/luminous-dynamics/symthaea/data/benchmarks/minif2f/MiniF2F/Test/amc12a_2021_p14.lean,250,false,skipped,
amc12a_2021_p18.lean,/srv/luminous-dynamics/symthaea/data/benchmarks/minif2f/MiniF2F/Test/amc12a_2021_p18.lean,250,false,skipped,
amc12a_2021_p19.lean,/srv/luminous-dynamics/symthaea/data/benchmarks/minif2f/MiniF2F/Test/amc12a_2021_p19.lean,296,false,skipped,
amc12a_2021_p22.lean,/srv/luminous-dynamics/symthaea/data/benchmarks/minif2f/MiniF2F/Test/amc12a_2021_p22.lean,339,false,skipped,
amc12a_2021_p25.lean,/srv/luminous-dynamics/symthaea/data/benchmarks/minif2f/MiniF2F/Test/amc12a_2021_p25.lean,315,false,skipped,
amc12a_2021_p3.lean,/srv/luminous-dynamics/symthaea/data/benchmarks/minif2f/MiniF2F/Test/amc12a_2021_p3.lean,228,false,skipped,
amc12a_2021_p8.lean,/srv/luminous-dynamics/symthaea/data/benchmarks/minif2f/MiniF2F/Test/amc12a_2021_p8.lean,299,false,skipped,
amc12a_2021_p9.lean,/srv/luminous-dynamics/symthaea/data/benchmarks/minif2f/MiniF2F/Test/amc12a_2021_p9.lean,185,false,skipped,
amc12b_2002_p19.lean,/srv/luminous-dynamics/symthaea/data/benchmarks/minif2f/MiniF2F/Test/amc12b_2002_p19.lean,279,false,skipped,
amc12b_2002_p2.lean,/srv/luminous-dynamics/symthaea/data/benchmarks/minif2f/MiniF2F/Test/amc12b_2002_p2.lean,211,false,skipped,
amc12b_2002_p4.lean,/srv/luminous-dynamics/symthaea/data/benchmarks/minif2f/MiniF2F/Test/amc12b_2002_p4.lean,218,false,skipped,
amc12b_2002_p7.lean,/srv/luminous-dynamics/symthaea/data/benchmarks/minif2f/MiniF2F/Test/amc12b_2002_p7.lean,280,false,skipped,
amc12b_2020_p13.lean,/srv/luminous-dynamics/symthaea/data/benchmarks/minif2f/MiniF2F/Test/amc12b_2020_p13.lean,262,false,skipped,
amc12b_2020_p2.lean,/srv/luminous-dynamics/symthaea/data/benchmarks/minif2f/MiniF2F/Test/amc12b_2020_p2.lean,223,false,skipped,
amc12b_2020_p21.lean,/srv/luminous-dynamics/symthaea/data/benchmarks/minif2f/MiniF2F/Test/amc12b_2020_p21.lean,255,false,skipped,
amc12b_2020_p22.lean,/srv/luminous-dynamics/symthaea/data/benchmarks/minif2f/MiniF2F/Test/amc12b_2020_p22.lean,175,false,skipped,
amc12b_2020_p6.lean,/srv/luminous-dynamics/symthaea/data/benchmarks/minif2f/MiniF2F/Test/amc12b_2020_p6.lean,237,false,skipped,
amc12b_2021_p1.lean,/srv/luminous-dynamics/symthaea/data/benchmarks/minif2f/MiniF2F/Test/amc12b_2021_p1.lean,216,false,skipped,
amc12b_2021_p13.lean,/srv/luminous-dynamics/symthaea/data/benchmarks/minif2f/MiniF2F/Test/amc12b_2021_p13.lean,270,false,skipped,
amc12b_2021_p18.lean,/srv/luminous-dynamics/symthaea/data/benchmarks/minif2f/MiniF2F/Test/amc12b_2021_p18.lean,245,false,skipped,
amc12b_2021_p3.lean,/srv/luminous-dynamics/symthaea/data/benchmarks/minif2f/MiniF2F/Test/amc12b_2021_p3.lean,203,false,skipped,
amc12b_2021_p4.lean,/srv/luminous-dynamics/symthaea/data/benchmarks/minif2f/MiniF2F/Test/amc12b_2021_p4.lean,252,false,skipped,
amc12b_2021_p9.lean,/srv/luminous-dynamics/symthaea/data/benchmarks/minif2f/MiniF2F/Test/amc12b_2021_p9.lean,242,false,skipped,
imo_1959_p1.lean,/srv/luminous-dynamics/symthaea/data/benchmarks/minif2f/MiniF2F/Test/imo_1959_p1.lean,183,false,skipped,
imo_1960_p2.lean,/srv/luminous-dynamics/symthaea/data/benchmarks/minif2f/MiniF2F/Test/imo_1960_p2.lean,316,false,skipped,
imo_1962_p2.lean,/srv/luminous-dynamics/symthaea/data/benchmarks/minif2f/MiniF2F/Test/imo_1962_p2.lean,273,false,skipped,
imo_1963_p5.lean,/srv/luminous-dynamics/symthaea/data/benchmarks/minif2f/MiniF2F/Test/imo_1963_p5.lean,194,false,skipped,
imo_1964_p2.lean,/srv/luminous-dynamics/symthaea/data/benchmarks/minif2f/MiniF2F/Test/imo_1964_p2.lean,312,false,skipped,
imo_1965_p2.lean,/srv/luminous-dynamics/symthaea/data/benchmarks/minif2f/MiniF2F/Test/imo_1965_p2.lean,540,false,skipped,
imo_1968_p5_1.lean,/srv/luminous-dynamics/symthaea/data/benchmarks/minif2f/MiniF2F/Test/imo_1968_p5_1.lean,269,false,skipped,
imo_1969_p2.lean,/srv/luminous-dynamics/symthaea/data/benchmarks/minif2f/MiniF2F/Test/imo_1969_p2.lean,350,false,skipped,
imo_1974_p3.lean,/srv/luminous-dynamics/symthaea/data/benchmarks/minif2f/MiniF2F/Test/imo_1974_p3.lean,222,false,skipped,
imo_1977_p6.lean,/srv/luminous-dynamics/symthaea/data/benchmarks/minif2f/MiniF2F/Test/imo_1977_p6.lean,239,false,skipped,
imo_1981_p6.lean,/srv/luminous-dynamics/symthaea/data/benchmarks/minif2f/MiniF2F/Test/imo_1981_p6.lean,375,false,skipped,
imo_1982_p1.lean,/srv/luminous-dynamics/symthaea/data/benchmarks/minif2f/MiniF2F/Test/imo_1982_p1.lean,330,false,skipped,
imo_1983_p6.lean,/srv/luminous-dynamics/symthaea/data/benchmarks/minif2f/MiniF2F/Test/imo_1983_p6.lean,300,false,skipped,
imo_1984_p6.lean,/srv/luminous-dynamics/symthaea/data/benchmarks/minif2f/MiniF2F/Test/imo_1984_p6.lean,350,false,skipped,
imo_1985_p6.lean,/srv/luminous-dynamics/symthaea/data/benchmarks/minif2f/MiniF2F/Test/imo_1985_p6.lean,316,false,skipped,
imo_1992_p1.lean,/srv/luminous-dynamics/symthaea/data/benchmarks/minif2f/MiniF2F/Test/imo_1992_p1.lean,279,false,skipped,
imo_1997_p5.lean,/srv/luminous-dynamics/symthaea/data/benchmarks/minif2f/MiniF2F/Test/imo_1997_p5.lean,244,false,skipped,
imo_2001_p6.lean,/srv/luminous-dynamics/symthaea/data/benchmarks/minif2f/MiniF2F/Test/imo_2001_p6.lean,326,false,skipped,
imo_2019_p1.lean,/srv/luminous-dynamics/symthaea/data/benchmarks/minif2f/MiniF2F/Test/imo_2019_p1.lean,245,false,skipped,
imosl_2007_algebra_p6.lean,/srv/luminous-dynamics/symthaea/data/benchmarks/minif2f/MiniF2F/Test/imosl_2007_algebra_p6.lean,295,false,skipped,
induction_11div10tonmn1ton.lean,/srv/luminous-dynamics/symthaea/data/benchmarks/minif2f/MiniF2F/Test/induction_11div10tonmn1ton.lean,176,false,skipped,
induction_12dvd4expnp1p20.lean,/srv/luminous-dynamics/symthaea/data/benchmarks/minif2f/MiniF2F/Test/induction_12dvd4expnp1p20.lean,166,false,skipped,
induction_1pxpownlt1pnx.lean,/srv/luminous-dynamics/symthaea/data/benchmarks/minif2f/MiniF2F/Test/induction_1pxpownlt1pnx.lean,224,false,skipped,
induction_nfactltnexpnm1ngt3.lean,/srv/luminous-dynamics/symthaea/data/benchmarks/minif2f/MiniF2F/Test/induction_nfactltnexpnm1ngt3.lean,185,false,skipped,
induction_pord1p1on2powklt5on2.lean,/srv/luminous-dynamics/symthaea/data/benchmarks/minif2f/MiniF2F/Test/induction_pord1p1on2powklt5on2.lean,222,false,skipped,
induction_pprime_pdvdapowpma.lean,/srv/luminous-dynamics/symthaea/data/benchmarks/minif2f/MiniF2F/Test/induction_pprime_pdvdapowpma.lean,207,false,skipped,
induction_prod1p1onk3le3m1onn.lean,/srv/luminous-dynamics/symthaea/data/benchmarks/minif2f/MiniF2F/Test/induction_prod1p1onk3le3m1onn.lean,236,false,skipped,
induction_sumkexp3eqsumksq.lean,/srv/luminous-dynamics/symthaea/data/benchmarks/minif2f/MiniF2F/Test/induction_sumkexp3eqsumksq.lean,211,false,skipped,
mathd_algebra_107.lean,/srv/luminous-dynamics/symthaea/data/benchmarks/minif2f/MiniF2F/Test/mathd_algebra_107.lean,207,false,skipped,
mathd_algebra_113.lean,/srv/luminous-dynamics/symthaea/data/benchmarks/minif2f/MiniF2F/Test/mathd_algebra_113.lean,176,false,skipped,
mathd_algebra_114.lean,/srv/luminous-dynamics/symthaea/data/benchmarks/minif2f/MiniF2F/Test/mathd_algebra_114.lean,204,false,skipped,
mathd_algebra_125.lean,/srv/luminous-dynamics/symthaea/data/benchmarks/minif2f/MiniF2F/Test/mathd_algebra_125.lean,243,false,skipped,
mathd_algebra_129.lean,/srv/luminous-dynamics/symthaea/data/benchmarks/minif2f/MiniF2F/Test/mathd_algebra_129.lean,204,false,skipped,
mathd_algebra_137.lean,/srv/luminous-dynamics/symthaea/data/benchmarks/minif2f/MiniF2F/Test/mathd_algebra_137.lean,197,false,skipped,
mathd_algebra_139.lean,/srv/luminous-dynamics/symthaea/data/benchmarks/minif2f/MiniF2F/Test/mathd_algebra_139.lean,239,false,skipped,
mathd_algebra_141.lean,/srv/luminous-dynamics/symthaea/data/benchmarks/minif2f/MiniF2F/Test/mathd_algebra_141.lean,207,false,skipped,
mathd_algebra_142.lean,/srv/luminous-dynamics/symthaea/data/benchmarks/minif2f/MiniF2F/Test/mathd_algebra_142.lean,204,false,skipped,
mathd_algebra_143.lean,/srv/luminous-dynamics/symthaea/data/benchmarks/minif2f/MiniF2F/Test/mathd_algebra_143.lean,222,false,skipped,
mathd_algebra_148.lean,/srv/luminous-dynamics/symthaea/data/benchmarks/minif2f/MiniF2F/Test/mathd_algebra_148.lean,227,false,skipped,
mathd_algebra_153.lean,/srv/luminous-dynamics/symthaea/data/benchmarks/minif2f/MiniF2F/Test/mathd_algebra_153.lean,254,false,skipped,
mathd_algebra_156.lean,/srv/luminous-dynamics/symthaea/data/benchmarks/minif2f/MiniF2F/Test/mathd_algebra_156.lean,301,false,skipped,
mathd_algebra_158.lean,/srv/luminous-dynamics/symthaea/data/benchmarks/minif2f/MiniF2F/Test/mathd_algebra_158.lean,261,false,skipped,
mathd_algebra_160.lean,/srv/luminous-dynamics/symthaea/data/benchmarks/minif2f/MiniF2F/Test/mathd_algebra_160.lean,205,false,skipped,
mathd_algebra_17.lean,/srv/luminous-dynamics/symthaea/data/benchmarks/minif2f/MiniF2F/Test/mathd_algebra_17.lean,234,false,skipped,
mathd_algebra_170.lean,/srv/luminous-dynamics/symthaea/data/benchmarks/minif2f/MiniF2F/Test/mathd_algebra_170.lean,222,false,skipped,
mathd_algebra_171.lean,/srv/luminous-dynamics/symthaea/data/benchmarks/minif2f/MiniF2F/Test/mathd_algebra_171.lean,187,false,skipped,
mathd_algebra_176.lean,/srv/luminous-dynamics/symthaea/data/benchmarks/minif2f/MiniF2F/Test/mathd_algebra_176.lean,172,false,skipped,
mathd_algebra_184.lean,/srv/luminous-dynamics/symthaea/data/benchmarks/minif2f/MiniF2F/Test/mathd_algebra_184.lean,239,false,skipped,
mathd_algebra_188.lean,/srv/luminous-dynamics/symthaea/data/benchmarks/minif2f/MiniF2F/Test/mathd_algebra_188.lean,191,false,skipped,
mathd_algebra_196.lean,/srv/luminous-dynamics/symthaea/data/benchmarks/minif2f/MiniF2F/Test/mathd_algebra_196.lean,218,false,skipped,
mathd_algebra_208.lean,/srv/luminous-dynamics/symthaea/data/benchmarks/minif2f/MiniF2F/Test/mathd_algebra_208.lean,166,false,skipped,
mathd_algebra_209.lean,/srv/luminous-dynamics/symthaea/data/benchmarks/minif2f/MiniF2F/Test/mathd_algebra_209.lean,236,false,skipped,
mathd_algebra_215.lean,/srv/luminous-dynamics/symthaea/data/benchmarks/minif2f/MiniF2F/Test/mathd_algebra_215.lean,219,false,skipped,
mathd_algebra_24.lean,/srv/luminous-dynamics/symthaea/data/benchmarks/minif2f/MiniF2F/Test/mathd_algebra_24.lean,169,false,skipped,
mathd_algebra_246.lean,/srv/luminous-dynamics/symthaea/data/benchmarks/minif2f/MiniF2F/Test/mathd_algebra_246.lean,240,false,skipped,
mathd_algebra_263.lean,/srv/luminous-dynamics/symthaea/data/benchmarks/minif2f/MiniF2F/Test/mathd_algebra_263.lean,211,false,skipped,
mathd_algebra_270.lean,/srv/luminous-dynamics/symthaea/data/benchmarks/minif2f/MiniF2F/Test/mathd_algebra_270.lean,208,false,skipped,
mathd_algebra_275.lean,/srv/luminous-dynamics/symthaea/data/benchmarks/minif2f/MiniF2F/Test/mathd_algebra_275.lean,227,false,skipped,
mathd_algebra_276.lean,/srv/luminous-dynamics/symthaea/data/benchmarks/minif2f/MiniF2F/Test/mathd_algebra_276.lean,225,false,skipped,
mathd_algebra_288.lean,/srv/luminous-dynamics/symthaea/data/benchmarks/minif2f/MiniF2F/Test/mathd_algebra_288.lean,307,false,skipped,
mathd_algebra_289.lean,/srv/luminous-dynamics/symthaea/data/benchmarks/minif2f/MiniF2F/Test/mathd_algebra_289.lean,289,false,skipped,
mathd_algebra_293.lean,/srv/luminous-dynamics/symthaea/data/benchmarks/minif2f/MiniF2F/Test/mathd_algebra_293.lean,232,false,skipped,
mathd_algebra_296.lean,/srv/luminous-dynamics/symthaea/data/benchmarks/minif2f/MiniF2F/Test/mathd_algebra_296.lean,180,false,skipped,
mathd_algebra_302.lean,/srv/luminous-dynamics/symthaea/data/benchmarks/minif2f/MiniF2F/Test/mathd_algebra_302.lean,155,false,skipped,
mathd_algebra_304.lean,/srv/luminous-dynamics/symthaea/data/benchmarks/minif2f/MiniF2F/Test/mathd_algebra_304.lean,138,false,skipped,
mathd_algebra_313.lean,/srv/luminous-dynamics/symthaea/data/benchmarks/minif2f/MiniF2F/Test/mathd_algebra_313.lean,247,false,skipped,
mathd_algebra_314.lean,/srv/luminous-dynamics/symthaea/data/benchmarks/minif2f/MiniF2F/Test/mathd_algebra_314.lean,192,false,skipped,
mathd_algebra_320.lean,/srv/luminous-dynamics/symthaea/data/benchmarks/minif2f/MiniF2F/Test/mathd_algebra_320.lean,303,false,skipped,
mathd_algebra_329.lean,/srv/luminous-dynamics/symthaea/data/benchmarks/minif2f/MiniF2F/Test/mathd_algebra_329.lean,201,false,skipped,
mathd_algebra_33.lean,/srv/luminous-dynamics/symthaea/data/benchmarks/minif2f/MiniF2F/Test/mathd_algebra_33.lean,226,false,skipped,
mathd_algebra_332.lean,/srv/luminous-dynamics/symthaea/data/benchmarks/minif2f/MiniF2F/Test/mathd_algebra_332.lean,227,false,skipped,
mathd_algebra_338.lean,/srv/luminous-dynamics/symthaea/data/benchmarks/minif2f/MiniF2F/Test/mathd_algebra_338.lean,247,false,skipped,
mathd_algebra_342.lean,/srv/luminous-dynamics/symthaea/data/benchmarks/minif2f/MiniF2F/Test/mathd_algebra_342.lean,262,false,skipped,
mathd_algebra_346.lean,/srv/luminous-dynamics/symthaea/data/benchmarks/minif2f/MiniF2F/Test/mathd_algebra_346.lean,228,false,skipped,
mathd_algebra_354.lean,/srv/luminous-dynamics/symthaea/data/benchmarks/minif2f/MiniF2F/Test/mathd_algebra_354.lean,210,false,skipped,
mathd_algebra_359.lean,/srv/luminous-dynamics/symthaea/data/benchmarks/minif2f/MiniF2F/Test/mathd_algebra_359.lean,174,false,skipped,
mathd_algebra_362.lean,/srv/luminous-dynamics/symthaea/data/benchmarks/minif2f/MiniF2F/Test/mathd_algebra_362.lean,213,false,skipped,
mathd_algebra_388.lean,/srv/luminous-dynamics/symthaea/data/benchmarks/minif2f/MiniF2F/Test/mathd_algebra_388.lean,227,false,skipped,
mathd_algebra_392.lean,/srv/luminous-dynamics/symthaea/data/benchmarks/minif2f/MiniF2F/Test/mathd_algebra_392.lean,257,false,skipped,
mathd_algebra_398.lean,/srv/luminous-dynamics/symthaea/data/benchmarks/minif2f/MiniF2F/Test/mathd_algebra_398.lean,246,false,skipped,
mathd_algebra_400.lean,/srv/luminous-dynamics/symthaea/data/benchmarks/minif2f/MiniF2F/Test/mathd_algebra_400.lean,191,false,skipped,
mathd_algebra_412.lean,/srv/luminous-dynamics/symthaea/data/benchmarks/minif2f/MiniF2F/Test/mathd_algebra_412.lean,191,false,skipped,
mathd_algebra_419.lean,/srv/luminous-dynamics/symthaea/data/benchmarks/minif2f/MiniF2F/Test/mathd_algebra_419.lean,204,false,skipped,
mathd_algebra_427.lean,/srv/luminous-dynamics/symthaea/data/benchmarks/minif2f/MiniF2F/Test/mathd_algebra_427.lean,239,false,skipped,
mathd_algebra_432.lean,/srv/luminous-dynamics/symthaea/data/benchmarks/minif2f/MiniF2F/Test/mathd_algebra_432.lean,175,false,skipped,
mathd_algebra_44.lean,/srv/luminous-dynamics/symthaea/data/benchmarks/minif2f/MiniF2F/Test/mathd_algebra_44.lean,205,false,skipped,
mathd_algebra_440.lean,/srv/luminous-dynamics/symthaea/data/benchmarks/minif2f/MiniF2F/Test/mathd_algebra_440.lean,174,false,skipped,
mathd_algebra_441.lean,/srv/luminous-dynamics/symthaea/data/benchmarks/minif2f/MiniF2F/Test/mathd_algebra_441.lean,211,false,skipped,
mathd_algebra_452.lean,/srv/luminous-dynamics/symthaea/data/benchmarks/minif2f/MiniF2F/Test/mathd_algebra_452.lean,264,false,skipped,
mathd_algebra_459.lean,/srv/luminous-dynamics/symthaea/data/benchmarks/minif2f/MiniF2F/Test/mathd_algebra_459.lean,292,false,skipped,
mathd_algebra_478.lean,/srv/luminous-dynamics/symthaea/data/benchmarks/minif2f/MiniF2F/Test/mathd_algebra_478.lean,257,false,skipped,
mathd_algebra_484.lean,/srv/luminous-dynamics/symthaea/data/benchmarks/minif2f/MiniF2F/Test/mathd_algebra_484.lean,155,false,skipped,
mathd_algebra_487.lean,/srv/luminous-dynamics/symthaea/data/benchmarks/minif2f/MiniF2F/Test/mathd_algebra_487.lean,291,false,skipped,
mathd_algebra_513.lean,/srv/luminous-dynamics/symthaea/data/benchmarks/minif2f/MiniF2F/Test/mathd_algebra_513.lean,206,false,skipped,
mathd_algebra_598.lean,/srv/luminous-dynamics/symthaea/data/benchmarks/minif2f/MiniF2F/Test/mathd_algebra_598.lean,274,false,skipped,
mathd_algebra_756.lean,/srv/luminous-dynamics/symthaea/data/benchmarks/minif2f/MiniF2F/Test/mathd_algebra_756.lean,197,false,skipped,
