row_index	kind	split	category	ambiguous_site	reactants	product	detail
19	esterification	validation	representation_or_normalization_failure	false	CCCCCCCCCCCCCC(=O)O.CO[C@@H](C(=O)N[C@H]1CC[C@@H](O)CN(Cc2cccnc2)C1=O)[C@@H]1OC(C)(C)O[C@H](/C=C/C(C)(C)C)[C@H]1O	CCCCCCCCCCCCCC(=O)O[C@@H]1CC[C@H](NC(=O)[C@H](OC)[C@@H]2OC(C)(C)O[C@H](/C=C/C(C)(C)C)[C@H]2O)C(=O)N(Cc2cccnc2)C1	reactant 'CO[C@@H](C(=O)N[C@H]1CC[C@@H](O)CN(Cc2cccnc2)C1=O)[C@@H]1OC(C)(C)O[C@H](/C=C/C(C)(C)C)[C@H]1O' failed to parse: SMILES parse error: unsupported SMILES feature '@' (v0.1 scope: no stereo/disconnected/isotope)
20	esterification	validation	certified_exact_transformation	false	CCCCCCCCCCCCCCCCCCCCCC(=O)O.OCCOc1ccccc1	CCCCCCCCCCCCCCCCCCCCCC(=O)OCCOc1ccccc1	certified
21	esterification	dev	validity_or_conservation_failure	true	COc1nc(NCCc2ccc(Cl)cc2Cl)cc(-c2cccc(C(=O)O)c2)n1.OCCN1CCOCC1	COc1nc(NCCc2ccc(Cl)cc2Cl)cc(-c2cccc(C(=O)OCCN3CCOCC3)c2)n1	atom 12 has element Cl outside the allowed set ["H", "C", "N", "O", "F"]
22	esterification	dev	representation_or_normalization_failure	false	COC(=O)CC(=O)O.COC(=O)N1CC[C@H]2[C@@H]1CCC[C@]2(O)C#Cc1cccc(C)c1	COC(=O)CC(=O)O[C@@]1(C#Cc2cccc(C)c2)CCC[C@@H]2[C@H]1CCN2C(=O)OC	reactant 'COC(=O)N1CC[C@H]2[C@@H]1CCC[C@]2(O)C#Cc1cccc(C)c1' failed to parse: SMILES parse error: unsupported SMILES feature '@' (v0.1 scope: no stereo/disconnected/isotope)
23	esterification	holdout	validity_or_conservation_failure	false	COC(=O)C1C2CC3C(OC(=O)C31)C2O.O=C(O)CCl	COC(=O)C1C2CC3C(OC(=O)C31)C2OC(=O)CCl	atom 4 has element Cl outside the allowed set ["H", "C", "N", "O", "F"]
24	esterification	validation	validity_or_conservation_failure	false	CO.Cc1ccc(I)c(C(=O)O)c1	COC(=O)c1cc(C)ccc1I	atom 5 has element I outside the allowed set ["H", "C", "N", "O", "F"]
25	esterification	holdout	certified_exact_transformation	true	O=C(O)C(O)(c1ccccc1)C1CCCCC1.OCCNc1ncccn1	O=C(OCCNc1ncccn1)C(O)(c1ccccc1)C1CCCCC1	certified
26	esterification	holdout	certified_exact_transformation	false	CO.O=C(O)c1cccc2c1OCC2	COC(=O)c1cccc2c1OCC2	certified
27	esterification	validation	validity_or_conservation_failure	false	CC(C)O.O=C(O)Cc1cc(C(F)(F)F)ccc1I	CC(C)OC(=O)Cc1cc(C(F)(F)F)ccc1I	atom 14 has element I outside the allowed set ["H", "C", "N", "O", "F"]
28	esterification	validation	certified_exact_transformation	false	C#CCOCCCCCCCCCCO.O=C(O)C1CC1	C#CCOCCCCCCCCCCOC(=O)C1CC1	certified
29	esterification	validation	validity_or_conservation_failure	false	Cc1cc(C(=O)O)ccc1Br.N#CCCO	Cc1cc(C(=O)OCCC#N)ccc1Br	atom 10 has element Br outside the allowed set ["H", "C", "N", "O", "F"]
30	esterification	dev	certified_exact_transformation	false	CCO.O=C(O)C1CCC(N2CCCC2=O)CC1	CCOC(=O)C1CCC(N2CCCC2=O)CC1	certified
31	esterification	validation	certified_exact_transformation	true	CC(=O)OCC(C)(C)C(OC(C)=O)C(=O)NCCC(=O)O.Nc1ccc(O)cc1	CC(=O)OCC(C)(C)C(OC(C)=O)C(=O)NCCC(=O)Nc1ccc(O)cc1	certified
32	esterification	dev	structurally_shaped_wrong_transformation	true	CCO.CNC(=O)N(c1cccc(-c2sc(C(=O)O)c(OCC(=O)O)c2Br)c1)C1CCCCC1	CCOC(=O)COc1c(C(=O)O)sc(-c2cccc(N(C(=O)NC)C3CCCCC3)c2)c1Br	computed=C23H27BrN2O6S (via esterification) declared=C23H27BrN2O6S -- tried: esterification
33	esterification	dev	representation_or_normalization_failure	false	CCN(CC)C(=O)CCC(=O)O.COC(=O)N1CC[C@H]2[C@@H]1CCC[C@]2(O)C#Cc1cccc(C)c1	CCN(CC)C(=O)CCC(=O)O[C@@]1(C#Cc2cccc(C)c2)CCC[C@@H]2[C@H]1CCN2C(=O)OC	reactant 'COC(=O)N1CC[C@H]2[C@@H]1CCC[C@]2(O)C#Cc1cccc(C)c1' failed to parse: SMILES parse error: unsupported SMILES feature '@' (v0.1 scope: no stereo/disconnected/isotope)
34	esterification	dev	validity_or_conservation_failure	false	O=C(O)Cc1ccco1.OCCBr	O=C(Cc1ccco1)OCCBr	atom 3 has element Br outside the allowed set ["H", "C", "N", "O", "F"]
35	esterification	validation	validity_or_conservation_failure	true	CC(=Cc1ccc(C(=O)O)s1)C(=O)OC(C)(C)C.N=C(N)c1ccc(O)cc1	CC(=Cc1ccc(C(=O)Oc2ccc(C(=N)N)cc2)s1)C(=O)OC(C)(C)C	atom 10 has element S outside the allowed set ["H", "C", "N", "O", "F"]
36	esterification	holdout	representation_or_normalization_failure	false	C[C@H]1C=CC2=C[C@@H](C(C)(C)C)C[C@H](O)[C@@H]2[C@@]1(CC[C@@H]1C[C@H](C(C)(C)C)C(O[SiH](C)C)C(=O)O1)O[SiH](C)C.Cc1cccc(C)c1OC(C)C(=O)O	Cc1cccc(C)c1OC(C)C(=O)O[C@H]1C[C@H](C(C)(C)C)C=C2C=C[C@H](C)[C@](CC[C@@H]3C[C@H](C(C)(C)C)C(O[SiH](C)C)C(=O)O3)(O[SiH](C)C)[C@H]21	reactant 'C[C@H]1C=CC2=C[C@@H](C(C)(C)C)C[C@H](O)[C@@H]2[C@@]1(CC[C@@H]1C[C@H](C(C)(C)C)C(O[SiH](C)C)C(=O)O1)O[SiH](C)C' failed to parse: SMILES parse error: unsupported SMILES feature '@' (v0.1 scope: no stereo/disconnected/isotope)
37	esterification	validation	certified_exact_transformation	false	CCO.Cc1cc(C(=O)O)ccc1F	CCOC(=O)c1ccc(F)c(C)c1	certified
38	esterification	dev	certified_exact_transformation	true	NCCCCO.O=C(NC1(C(=O)O)CCCC1)OCc1ccccc1	O=C(NC1(C(=O)NCCCCO)CCCC1)OCc1ccccc1	certified
39	esterification	validation	resource_bounded_uncertainty	true	CC(C)(C)c1cc(CCC(=O)O)cc(C(C)(C)C)c1O.CCCCCCCCCCCCCCCCCC(=O)NCCCO	CCCCCCCCCCCCCCCCCC(=O)NCCCOC(=O)CCc1cc(C(C)(C)C)c(O)c(C(C)(C)C)c1	esterification: unable to verify
40	esterification	validation	representation_or_normalization_failure	false	CCCCCCCCCCC[C@H](CC(=O)O)OC(=O)CCCCCCCCC.N[C@H](CO)C(=O)OCc1ccccc1	CCCCCCCCCCC[C@H](CC(=O)N[C@H](CO)C(=O)OCc1ccccc1)OC(=O)CCCCCCCCC	reactant 'CCCCCCCCCCC[C@H](CC(=O)O)OC(=O)CCCCCCCCC' failed to parse: SMILES parse error: unsupported SMILES feature '@' (v0.1 scope: no stereo/disconnected/isotope)
41	esterification	holdout	representation_or_normalization_failure	false	CCCCCOc1ccc(O)cc1.CCOC(=O)Oc1ccc(/C=C/C(=O)O)cc1	CCCCCOc1ccc(OC(=O)/C=C/c2ccc(OC(=O)OCC)cc2)cc1	reactant 'CCOC(=O)Oc1ccc(/C=C/C(=O)O)cc1' failed to parse: SMILES parse error: unsupported SMILES feature '/' (v0.1 scope: no stereo/disconnected/isotope)
42	esterification	validation	validity_or_conservation_failure	false	CC(O)CN(C)C.O=C(NC(Cc1cc(=O)[nH]c2ccccc12)C(=O)O)c1ccc(Cl)cc1	CC(CN(C)C)OC(=O)C(Cc1cc(=O)[nH]c2ccccc12)NC(=O)c1ccc(Cl)cc1	atom 23 has element Cl outside the allowed set ["H", "C", "N", "O", "F"]
43	esterification	dev	representation_or_normalization_failure	false	CCCCC/C(=C\C=C\C(=O)O)c1ccc(OC)cc1.O=[N+]([O-])c1ccc(O)cc1	CCCCC/C(=C\C=C\C(=O)Oc1ccc([N+](=O)[O-])cc1)c1ccc(OC)cc1	reactant 'CCCCC/C(=C\C=C\C(=O)O)c1ccc(OC)cc1' failed to parse: SMILES parse error: unsupported SMILES feature '/' (v0.1 scope: no stereo/disconnected/isotope)
44	esterification	validation	representation_or_normalization_failure	false	CCCCCCCCCCCCCCCC(=O)O.COC(=O)N[C@H](C(=O)N[C@@H](Cc1ccccc1)[C@@H](O)CN(CC1CCCCC1)NC(=O)[C@@H](NC(=O)OC)C(C)C)C(C)C	CCCCCCCCCCCCCCCC(=O)O[C@@H](CN(CC1CCCCC1)NC(=O)[C@@H](NC(=O)OC)C(C)C)[C@H](Cc1ccccc1)NC(=O)[C@@H](NC(=O)OC)C(C)C	reactant 'COC(=O)N[C@H](C(=O)N[C@@H](Cc1ccccc1)[C@@H](O)CN(CC1CCCCC1)NC(=O)[C@@H](NC(=O)OC)C(C)C)C(C)C' failed to parse: SMILES parse error: unsupported SMILES feature '@' (v0.1 scope: no stereo/disconnected/isotope)
45	esterification	holdout	validity_or_conservation_failure	false	CCCCCCCCOc1ccc(C(=O)O)cc1.Oc1cc(Cl)c(Cl)cc1Cl	CCCCCCCCOc1ccc(C(=O)Oc2cc(Cl)c(Cl)cc2Cl)cc1	atom 4 has element Cl outside the allowed set ["H", "C", "N", "O", "F"]
46	esterification	validation	representation_or_normalization_failure	false	CCO.O=C(O)C1CCC(O)CC1	CCOC(=O)[C@H]1CC[C@H](O)CC1	declared product 'CCOC(=O)[C@H]1CC[C@H](O)CC1' failed to parse: SMILES parse error: unsupported SMILES feature '@' (v0.1 scope: no stereo/disconnected/isotope)
47	esterification	holdout	validity_or_conservation_failure	false	O=C1CC(C(NC(=O)OCc2ccccc2)C(=O)O)C(=O)N1.OCC(Cl)(Cl)Cl	O=C1CC(C(NC(=O)OCc2ccccc2)C(=O)OCC(Cl)(Cl)Cl)C(=O)N1	atom 3 has element Cl outside the allowed set ["H", "C", "N", "O", "F"]
48	esterification	holdout	representation_or_normalization_failure	false	CCC(O)C(C)C1OC1CC(C)/C=C/C=C(\C)C1OC(=O)C(O[SiH](C)C)C(C(C)(C)C)CCC(C)(O)C(OC(C)=O)C=CC1C.CCOCC(=O)O	CCOCC(=O)OC(CC)C(C)C1OC1CC(C)/C=C/C=C(\C)C1OC(=O)C(O[SiH](C)C)C(C(C)(C)C)CCC(C)(O)C(OC(C)=O)C=CC1C	reactant 'CCC(O)C(C)C1OC1CC(C)/C=C/C=C(\C)C1OC(=O)C(O[SiH](C)C)C(C(C)(C)C)CCC(C)(O)C(OC(C)=O)C=CC1C' failed to parse: SMILES parse error: unsupported SMILES feature '/' (v0.1 scope: no stereo/disconnected/isotope)
49	esterification	dev	validity_or_conservation_failure	true	CCOCCC(=O)O.O=C1c2c(c(O)c3nccnc3c2O)C(=O)N1Cc1ccc(Cl)c(Cl)c1	CCOCCC(=O)Oc1c2c(c(O)c3nccnc13)C(=O)N(Cc1ccc(Cl)c(Cl)c1)C2=O	atom 22 has element Cl outside the allowed set ["H", "C", "N", "O", "F"]
50	esterification	holdout	representation_or_normalization_failure	false	CC(C)C[C@H](NC(=O)OC(C)(C)C)C(=O)O.OC1CNCC1SCc1ccccc1	CC(C)C[C@H](NC(=O)OC(C)(C)C)C(=O)N1CC(O)C(SCc2ccccc2)C1	reactant 'CC(C)C[C@H](NC(=O)OC(C)(C)C)C(=O)O' failed to parse: SMILES parse error: unsupported SMILES feature '@' (v0.1 scope: no stereo/disconnected/isotope)
51	esterification	validation	certified_exact_transformation	false	CCCCCCCCCCCCCCCCCCCCO.O=C(O)c1ccccc1	CCCCCCCCCCCCCCCCCCCCOC(=O)c1ccccc1	certified
52	esterification	dev	representation_or_normalization_failure	false	CS[C@H]([C@@H](C)C(=O)O)[C@@H]1CCCN1C(=O)OC(C)(C)C.NCCc1cccc(O)c1	CS[C@H]([C@@H](C)C(=O)NCCc1cccc(O)c1)[C@@H]1CCCN1C(=O)OC(C)(C)C	reactant 'CS[C@H]([C@@H](C)C(=O)O)[C@@H]1CCCN1C(=O)OC(C)(C)C' failed to parse: SMILES parse error: unsupported SMILES feature '@' (v0.1 scope: no stereo/disconnected/isotope)
53	esterification	validation	certified_exact_transformation	true	CO.O=C(O)c1ccc(O)c(C(F)(F)F)c1	COC(=O)c1ccc(O)c(C(F)(F)F)c1	certified
54	esterification	holdout	representation_or_normalization_failure	false	CC(C)(C)OC(=O)CCO.COc1cc(C(=O)O)ccc1NC(=O)[C@@H]1N[C@@H](CC(C)(C)C)[C@](C#N)(c2ccc(Cl)cc2F)[C@H]1c1cccc(Cl)c1F	COc1cc(C(=O)OCCC(=O)OC(C)(C)C)ccc1NC(=O)[C@@H]1N[C@@H](CC(C)(C)C)[C@](C#N)(c2ccc(Cl)cc2F)[C@H]1c1cccc(Cl)c1F	reactant 'COc1cc(C(=O)O)ccc1NC(=O)[C@@H]1N[C@@H](CC(C)(C)C)[C@](C#N)(c2ccc(Cl)cc2F)[C@H]1c1cccc(Cl)c1F' failed to parse: SMILES parse error: unsupported SMILES feature '@' (v0.1 scope: no stereo/disconnected/isotope)
55	esterification	holdout	representation_or_normalization_failure	false	CCCCCCCC/C=C\CCCCCCCC(=O)O.CN(C)CCO	CCCCCCCC/C=C\CCCCCCCC(=O)OCCN(C)C	reactant 'CCCCCCCC/C=C\CCCCCCCC(=O)O' failed to parse: SMILES parse error: unsupported SMILES feature '/' (v0.1 scope: no stereo/disconnected/isotope)
56	esterification	dev	validity_or_conservation_failure	true	CC(C)C(Nc1ccc(C(F)(F)F)cc1Cl)C(=O)O.O=C(c1ccccc1)c1cccc(CO)n1	CC(C)C(Nc1ccc(C(F)(F)F)cc1Cl)C(=O)OCc1cccc(C(=O)c2ccccc2)n1	atom 15 has element Cl outside the allowed set ["H", "C", "N", "O", "F"]
57	esterification	validation	validity_or_conservation_failure	false	CO.O=C(O)Cc1ccc(F)cc1I	COC(=O)Cc1ccc(F)cc1I	atom 11 has element I outside the allowed set ["H", "C", "N", "O", "F"]
58	esterification	dev	certified_exact_transformation	true	CCO.Nc1ccc(C(=O)O)cn1	CCOC(=O)c1ccc(N)nc1	certified
59	esterification	validation	representation_or_normalization_failure	false	CC(C(=O)O)c1ccc(Br)cc1.CCOC(=O)[C@H](C)O	CCOC(=O)[C@H](C)OC(=O)[C@@H](C)c1ccc(Br)cc1	reactant 'CCOC(=O)[C@H](C)O' failed to parse: SMILES parse error: unsupported SMILES feature '@' (v0.1 scope: no stereo/disconnected/isotope)
60	esterification	dev	validity_or_conservation_failure	false	CCO.O=C(O)C=Cc1ccc(C2CCCCC2)c(Cl)c1	CCOC(=O)C=Cc1ccc(C2CCCCC2)c(Cl)c1	atom 16 has element Cl outside the allowed set ["H", "C", "N", "O", "F"]
61	esterification	dev	representation_or_normalization_failure	false	CC(=O)C(=O)O.O=c1ccn([C@@H]2O[C@H](CO)[C@@H](O)[C@H]2O)c(=O)[nH]1	CC(=O)C(=O)OC[C@H]1O[C@@H](n2ccc(=O)[nH]c2=O)[C@H](O)[C@@H]1O	reactant 'O=c1ccn([C@@H]2O[C@H](CO)[C@@H](O)[C@H]2O)c(=O)[nH]1' failed to parse: SMILES parse error: unsupported SMILES feature '@' (v0.1 scope: no stereo/disconnected/isotope)
62	esterification	dev	representation_or_normalization_failure	false	CC(C)(C)OC(=O)NCCC[C@@H](Cc1ncn2c1CCc1ccccc1-2)C(=O)O.CCCCCCCO	CCCCCCCOC(=O)[C@@H](CCCNC(=O)OC(C)(C)C)Cc1ncn2c1CCc1ccccc1-2	reactant 'CC(C)(C)OC(=O)NCCC[C@@H](Cc1ncn2c1CCc1ccccc1-2)C(=O)O' failed to parse: SMILES parse error: unsupported SMILES feature '@' (v0.1 scope: no stereo/disconnected/isotope)
63	esterification	holdout	certified_exact_transformation	true	O=C(O)CCc1ccc(Oc2ccc(O)cc2)cc1.OCCc1ccc(O)cc1	O=C(CCc1ccc(Oc2ccc(O)cc2)cc1)OCCc1ccc(O)cc1	certified
64	esterification	dev	representation_or_normalization_failure	false	COC(=O)C1=C(C)NC(C)=C(C(=O)O)C1c1cccc([N+](=O)[O-])c1.OC/C=C/C#Cc1ccc(Cc2ncc[nH]2)cc1	COC(=O)C1=C(C)NC(C)=C(C(=O)OC/C=C/C#Cc2ccc(Cc3ncc[nH]3)cc2)C1c1cccc([N+](=O)[O-])c1	reactant 'OC/C=C/C#Cc1ccc(Cc2ncc[nH]2)cc1' failed to parse: SMILES parse error: unsupported SMILES feature '/' (v0.1 scope: no stereo/disconnected/isotope)
65	esterification	validation	validity_or_conservation_failure	false	CCOC(Cc1ccc(C(C)(C)O[SiH2]C(C)(C)C)cc1)C(=O)O.OCC(Cl)(Cl)Cl	CCOC(Cc1ccc(C(C)(C)O[SiH2]C(C)(C)C)cc1)C(=O)OCC(Cl)(Cl)Cl	atom 13 has element Si outside the allowed set ["H", "C", "N", "O", "F"]
66	esterification	dev	validity_or_conservation_failure	false	C=C(CO)COC(=O)OCCCCCCCCCCCCCCCCCC.O=C(O)CCCCCCBr	C=C(COC(=O)CCCCCCBr)COC(=O)OCCCCCCCCCCCCCCCCCC	atom 9 has element Br outside the allowed set ["H", "C", "N", "O", "F"]
67	esterification	dev	representation_or_normalization_failure	false	CC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CCCC(=O)O.OC[C@@H]1[C@@H](O)[C@H](O)[C@@H](O)CN1CCCCl	CC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CCCC(=O)OCCCN1CC(O)C(O)[C@H](O)C1CO	reactant 'CC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CCCC(=O)O' failed to parse: SMILES parse error: unsupported SMILES feature '/' (v0.1 scope: no stereo/disconnected/isotope)
68	esterification	dev	validity_or_conservation_failure	false	O=C(O)C(=O)c1cccs1.OC12CCN(CC1)CC2	O=C(OC12CCN(CC1)CC2)C(=O)c1cccs1	atom 9 has element S outside the allowed set ["H", "C", "N", "O", "F"]
69	esterification	validation	representation_or_normalization_failure	false	CC(C)(CO)NC(=O)OC(C)(C)C.CC(C)[C@H](NC(=O)OCc1ccccc1)C(=O)O	CC(C)[C@H](NC(=O)OCc1ccccc1)C(=O)OCC(C)(C)NC(=O)OC(C)(C)C	reactant 'CC(C)[C@H](NC(=O)OCc1ccccc1)C(=O)O' failed to parse: SMILES parse error: unsupported SMILES feature '@' (v0.1 scope: no stereo/disconnected/isotope)
70	esterification	validation	certified_exact_transformation	true	CC1(C)CCC=C1c1cc(C(=O)O)ccc1-c1cc(O)ccc1F.CO	COC(=O)c1ccc(-c2cc(O)ccc2F)c(C2=CCCC2(C)C)c1	certified
71	esterification	holdout	certified_exact_transformation	false	CC1(C)CCCC2(C1)CC2(C)C(=O)O.CCOC(=O)CO	CCOC(=O)COC(=O)C1(C)CC12CCCC(C)(C)C2	certified
72	esterification	dev	representation_or_normalization_failure	false	COC(=O)[C@@H]1[C@@H](O)CCN1C(=O)OC(C)(C)C.O=C(O)c1ccccc1	COC(=O)[C@@H]1[C@H](OC(=O)c2ccccc2)CCN1C(=O)OC(C)(C)C	reactant 'COC(=O)[C@@H]1[C@@H](O)CCN1C(=O)OC(C)(C)C' failed to parse: SMILES parse error: unsupported SMILES feature '@' (v0.1 scope: no stereo/disconnected/isotope)
73	esterification	dev	certified_exact_transformation	false	C#CC(O)c1ccc2ccccc2c1.O=C(O)C1CC1	C#CC(OC(=O)C1CC1)c1ccc2ccccc2c1	certified
74	esterification	validation	certified_exact_transformation	false	CC(C)=CCc1ccc(C(C)C(=O)O)cc1.OCC1CCCO1	CC(C)=CCc1ccc(C(C)C(=O)OCC2CCCO2)cc1	certified
75	esterification	dev	representation_or_normalization_failure	false	CC(C)[C@H](NC(=O)OCc1ccccc1)C(=O)O.COc1ccc(COC(=O)C2CCC(O)CC2)cc1	COc1ccc(COC(=O)C2CCC(OC(=O)[C@@H](NC(=O)OCc3ccccc3)C(C)C)CC2)cc1	reactant 'CC(C)[C@H](NC(=O)OCc1ccccc1)C(=O)O' failed to parse: SMILES parse error: unsupported SMILES feature '@' (v0.1 scope: no stereo/disconnected/isotope)
76	esterification	holdout	representation_or_normalization_failure	false	C=CC[C@@H](CC(=O)OC(C)(C)C)C(=O)O.OC[C@@H]1CCCN1	C=CC[C@@H](CC(=O)OC(C)(C)C)C(=O)N1CCC[C@H]1CO	reactant 'C=CC[C@@H](CC(=O)OC(C)(C)C)C(=O)O' failed to parse: SMILES parse error: unsupported SMILES feature '@' (v0.1 scope: no stereo/disconnected/isotope)
77	esterification	dev	structurally_shaped_wrong_transformation	false	CC(C)(C)OC(=O)N1CCN(S(=O)(=O)c2cc(C(=O)O)ccc2F)CC1.Cc1cc(C)cc(O)c1	Cc1cc(C)cc(Oc2ccc(C(=O)O)cc2S(=O)(=O)N2CCN(C(=O)OC(C)(C)C)CC2)c1	computed=C24H29FN2O6S (via esterification) declared=C24H30N2O7S -- tried: esterification
78	esterification	validation	policy_or_hazard_rejection	false	CCCCCCCCCCCCO.O=C(O)c1ccccc1[N+](=O)[O-]	CCCCCCCCCCCCOC(=O)c1ccccc1[N+](=O)[O-]	reactant flagged by hazard heuristics: HazardScore { nitro_count: 1, nitro_density: 0.08333333333333333, peroxide_count: 0, unsaturation_ratio: 0.5 }
79	esterification	dev	representation_or_normalization_failure	false	CC(C)O.O=C(O)C=Cc1ccco1	CC(C)OC(=O)/C=C/c1ccco1	declared product 'CC(C)OC(=O)/C=C/c1ccco1' failed to parse: SMILES parse error: unsupported SMILES feature '/' (v0.1 scope: no stereo/disconnected/isotope)
